	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	4050.17	4025.08	4135.59	3461.55	3487.18	3705.56	591.28	542.79	557.24	4006.00	4002.00	4109.00	3447.00	3451.00	3552.00	547.12	519.70	530.65	4006.00	4039.00	4070.28	4050.17	3451.00	3483.33	3551.43	3487.18	530.65	532.49	563.77	557.24	57.93	60.65	134.09	59.50	24.90	13.80	1.50	1.42	1.71	3.78	2.59	4.42	586.95	864.00	742.00	744.00	783.33	69.87	62.61	53.77	53.91	56.76	5.06	37.39	46.23	46.09	43.24	3499343.00	2986611.00	3076879.00	3187611.00	257.70	243.31	259.28	1982.44	1655.27	1599.02	1745.58	387.44	390.06	934.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	3883.50	3748.48	3808.73	2783.70	2749.12	2768.57	1050.95	949.69	1011.63	3775.00	3656.00	3708.00	2977.00	3002.00	3025.00	942.45	857.21	910.90	3708.00	3713.00	3813.57	3808.73	3002.00	3001.33	2767.13	2768.57	910.90	903.52	1004.09	1011.63	67.64	59.66	17.33	24.01	51.05	43.10	1.61	1.77	0.80	0.63	4.77	5.08	812.24	1237.00	1190.00	1263.00	1230.00	37.00	89.64	86.23	91.52	89.13	2.68	10.36	13.77	8.48	10.87	4803885.00	4460690.00	4810426.00	4691667.00	583.22	534.94	544.63	2229.03	2112.63	2345.98	2229.22	1053.53	979.77	1110.77	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	4056.80	3888.26	3997.75	228.89	539.16	314.68	3838.07	3499.27	3763.77	3441.00	3476.00	3504.00	209.00	220.00	215.00	3222.27	3087.01	3270.02	3476.00	3473.67	3980.94	3997.75	215.00	214.67	360.91	314.68	3222.27	3193.10	3700.37	3763.77	85.52	31.56	160.22	5.51	178.08	94.93	0.91	2.15	2.57	44.39	2.97	4.81	3766.27	1282.00	1215.00	1267.00	1254.67	35.16	92.90	88.04	91.81	90.92	2.55	7.10	11.96	8.19	9.08	5200822.00	4724239.00	5065145.00	4996735.33	4106.48	3957.60	3777.71	1198.21	1074.29	1262.32	1178.27	107.52	906.01	667.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	662.40	631.41	645.19	245.90	210.34	207.29	442.60	425.45	440.10	592.00	585.00	501.00	209.00	203.00	206.00	372.19	379.04	295.91	585.00	559.33	646.34	645.19	206.00	206.00	221.17	210.34	372.19	349.04	436.05	440.10	15.53	50.64	21.46	3.00	9.27	46.15	9.05	2.40	1.46	9.70	13.22	2.12	440.34	756.00	717.00	655.00	709.33	50.93	54.78	51.96	47.46	51.40	3.69	45.22	48.04	52.54	48.60	500778.00	452722.00	422602.00	458700.67	509.89	771.36	1304.38	656.23	395.47	221.00	424.23	336.44	30.47	20.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	antigen 011	CT62	1	1	5	858.99	763.19	698.69	300.90	237.39	306.97	570.18	542.84	468.66	767.00	675.00	658.00	285.00	210.00	202.00	478.19	454.65	427.98	675.00	700.00	773.62	763.19	210.00	232.33	281.76	300.90	454.65	453.61	527.23	542.84	80.66	58.64	38.54	45.79	52.53	25.12	8.38	10.43	19.71	13.68	5.54	9.96	541.29	735.00	796.00	743.00	758.00	33.15	53.26	57.68	53.84	54.93	2.40	46.74	42.32	46.16	45.07	631361.00	607497.00	519125.00	585994.33	766.08	1509.44	287.13	547.05	286.27	1212.77	682.03	113.73	237.75	981.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	antigen 015	DSCR8/MMA1	1	1	6	980.72	982.96	782.78	289.28	275.79	221.76	702.71	732.33	564.13	886.00	865.00	757.00	289.00	241.00	207.00	607.99	614.38	538.35	865.00	836.00	915.49	980.72	241.00	245.67	262.28	275.79	607.99	586.90	666.39	702.71	114.93	69.22	35.73	41.20	89.79	42.17	8.28	12.55	16.77	13.62	7.19	13.47	669.82	973.00	929.00	911.00	937.67	31.90	70.51	67.32	66.01	67.95	2.31	29.49	32.68	33.99	32.05	954240.00	913168.00	713113.00	860173.67	768.96	1604.00	223.32	889.17	424.15	2301.31	1204.88	112.23	328.24	40.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	1361.79	971.79	1156.97	961.15	491.46	682.36	578.78	497.29	493.08	1221.00	892.00	1016.00	778.00	421.00	686.00	438.00	417.50	352.10	1016.00	1043.00	1163.52	1156.97	686.00	628.33	711.66	682.36	417.50	402.53	523.05	497.29	195.08	166.15	236.21	185.35	48.31	44.86	15.93	16.77	29.50	33.19	11.14	9.24	535.18	511.00	1074.00	593.00	726.00	304.15	37.03	77.83	42.97	52.61	22.04	62.97	22.17	57.03	47.39	695874.00	1043702.00	686086.00	808554.00	1764.91	452.34	1212.33	167.58	1180.71	241.18	529.82	1305.58	275.67	329.16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	1226.42	944.26	966.76	669.57	689.46	536.41	570.74	400.49	435.85	995.00	824.00	772.00	660.00	570.00	490.00	339.32	280.23	241.09	824.00	863.67	1045.81	966.76	570.00	573.33	631.82	669.57	280.23	286.88	469.02	435.85	156.81	116.67	83.22	85.05	89.84	49.45	13.51	14.99	14.83	13.17	17.24	19.16	472.48	373.00	199.00	150.00	240.67	117.19	27.03	14.42	10.87	17.44	8.49	72.97	85.58	89.13	82.56	457454.00	187907.00	145014.00	263458.33	1256.24	336.88	538.36	169.46	236.57	121.44	175.82	179.49	2398.58	152.18	0	3	0	0	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	2563.14	2614.30	2586.91	1666.25	1618.10	1052.89	896.40	1013.04	1609.60	2541.00	2466.00	2544.00	2255.00	2138.00	481.00	874.26	864.74	1566.69	2541.00	2517.00	2588.12	2586.91	2138.00	1624.67	1445.74	1618.10	874.26	1101.90	1173.01	1013.04	25.60	44.19	341.08	992.17	382.56	402.55	1.76	0.99	61.07	23.59	36.53	32.61	963.45	463.00	453.00	271.00	395.67	108.08	33.55	32.83	19.64	28.67	7.83	66.45	67.17	80.36	71.33	1186735.00	1184279.00	701052.00	1024022.00	361.70	2978.15	766.45	1147.45	154.09	569.12	623.55	1082.11	1123.18	1107.14	3	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	718.66	667.12	762.74	292.45	262.90	300.21	442.63	408.87	483.53	585.00	604.00	614.00	221.00	258.00	278.00	308.97	345.75	334.79	604.00	601.00	716.17	718.66	258.00	252.33	285.18	292.45	334.79	329.84	445.01	442.63	47.86	14.73	19.69	28.92	37.39	18.88	2.45	6.68	11.46	6.90	5.73	8.40	463.84	940.00	1196.00	1028.00	1054.67	130.07	68.12	86.67	74.49	76.43	9.43	31.88	13.33	25.51	23.57	675539.00	797878.00	784096.00	752504.33	1998.99	383.46	999.40	208.14	1275.25	497.37	660.25	141.69	54.08	140.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
