	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1946.43	1960.55	2055.46	1506.98	1486.13	1497.19	606.41	615.93	730.80	1897.00	1917.00	1991.00	586.00	608.00	573.00	556.97	572.37	666.34	1917.00	1935.00	1987.48	1960.55	586.00	589.00	1496.76	1497.19	572.37	598.56	651.04	615.93	59.29	49.52	10.43	17.69	69.24	59.20	2.56	2.98	3.00	0.70	9.89	10.63	1398.48	1183.00	1204.00	1245.00	1210.67	31.53	85.72	87.25	90.22	87.73	2.29	14.28	12.75	9.78	12.27	2302632.00	2360508.00	2559045.00	2407395.00	308.06	327.43	550.24	2328.72	2264.82	1653.55	2082.36	1463.27	1371.60	1488.30	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	1443.30	6626.65	1414.31	1072.10	2658.48	1076.28	409.47	5500.30	401.97	1402.00	1520.00	1414.00	1211.00	1178.00	1200.00	368.18	393.64	401.66	1414.00	1445.33	3161.42	1443.30	1200.00	1196.33	1602.29	1076.28	393.64	387.83	2103.91	409.47	3001.02	64.94	914.69	16.80	2941.36	17.48	4.49	94.93	1.40	57.09	4.51	139.80	1965.09	783.00	640.00	895.00	772.67	127.81	56.74	46.38	64.86	55.99	9.26	43.26	53.62	35.14	44.01	1130102.00	4241059.00	1265807.00	2212322.67	249.61	15972.87	156.27	1284.49	220.39	2302.22	1269.03	588.20	8783.65	712.31	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	9657.26	16672.29	7903.29	8732.89	10727.79	6847.43	1366.89	6380.44	1813.16	9186.00	13478.00	7442.00	8089.00	8892.00	6767.00	895.63	3186.15	1351.87	9186.00	10035.33	11410.94	9657.26	8089.00	7916.00	8769.37	8732.89	1351.87	1811.22	3186.83	1813.16	4640.08	3106.34	1940.44	1073.01	2774.73	1212.38	30.95	40.66	13.55	22.13	66.94	87.07	3494.94	333.00	14.00	1197.00	514.67	612.07	24.13	1.01	86.74	37.29	44.35	75.87	98.99	13.26	62.71	3215866.00	233412.00	9460239.00	4303172.33	1462.13	14231.72	2103.68	311.31	6.28	1031.69	449.76	6387.34	7348.62	6762.92	3	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	865.99	968.22	561.74	338.80	439.32	269.72	554.32	677.95	296.40	659.00	701.00	479.00	296.00	274.00	256.00	347.33	410.73	213.66	659.00	613.00	798.65	865.99	274.00	275.33	349.28	338.80	347.33	323.90	509.56	554.32	211.44	117.93	85.28	20.03	194.67	100.60	19.24	26.47	7.28	24.42	31.06	38.20	523.32	152.00	37.00	35.00	74.67	66.98	11.01	2.68	2.54	5.41	4.85	88.99	97.32	97.46	94.59	131631.00	35824.00	19661.00	62372.00	541.56	580.42	239.68	155.58	43.22	43.28	80.69	177.56	1050.49	70.14	0	3	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	540.61	516.22	541.15	312.25	285.43	302.33	235.75	248.53	245.04	520.00	505.00	509.00	291.00	225.00	280.00	215.14	237.32	212.89	509.00	511.33	532.66	540.61	280.00	265.33	300.00	302.33	215.14	221.78	243.11	245.04	14.24	7.77	13.56	35.36	6.61	13.50	1.52	2.67	13.33	4.52	6.09	2.72	267.33	160.00	412.00	168.00	246.67	143.24	11.59	29.86	12.17	17.87	10.38	88.41	70.14	87.83	82.13	86498.00	212681.00	90913.00	130030.67	94.65	129.88	105.84	398.50	788.36	388.95	525.27	91.04	165.38	91.73	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	570.57	506.96	824.92	278.68	415.29	265.29	297.90	222.98	563.18	508.00	505.00	509.00	245.00	280.00	245.00	235.33	221.02	247.27	508.00	507.33	634.15	570.57	245.00	256.67	319.75	278.68	235.33	234.54	361.36	297.90	168.24	2.08	83.01	20.21	178.76	13.14	0.41	26.53	7.87	25.96	5.60	49.47	377.48	550.00	476.00	545.00	523.67	41.36	39.86	34.49	39.49	37.95	3.00	60.14	65.51	60.51	62.05	313814.00	241313.00	449580.00	334902.33	524.75	18.01	1153.83	312.23	5893.00	266.01	2157.08	71.48	818.47	55.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	716.58	617.68	653.58	381.35	320.45	358.57	357.81	319.87	320.19	626.00	599.00	613.00	300.00	250.00	271.00	267.23	301.19	279.61	613.00	612.67	662.61	653.58	271.00	273.67	353.46	358.57	279.61	282.67	332.62	320.19	50.07	13.50	30.77	25.11	21.81	17.19	2.20	7.56	9.17	8.71	6.08	6.56	388.95	492.00	659.00	509.00	553.33	91.90	35.65	47.75	36.88	40.10	6.66	64.35	52.25	63.12	59.90	352558.00	407050.00	332674.00	364094.00	266.83	165.73	306.18	659.76	1271.88	532.29	821.31	238.88	166.06	285.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	1589.21	1475.80	3379.68	529.30	555.65	685.96	1124.04	987.26	2796.55	1736.00	1457.00	2485.00	299.00	365.00	380.00	1270.83	968.46	1901.86	1736.00	1892.67	2148.23	1589.21	365.00	348.00	590.30	555.65	1270.83	1380.38	1635.95	1124.04	1067.98	531.61	83.88	43.09	1007.43	476.25	28.09	49.71	12.38	14.21	34.50	61.58	1800.23	29.00	40.00	38.00	35.67	5.86	2.10	2.90	2.75	2.58	0.42	97.90	97.10	97.25	97.42	46087.00	59032.00	128428.00	77849.00	533.19	377.81	4795.91	61.14	104.53	22.16	62.61	546.93	575.87	845.27	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	757.92	920.20	2633.45	742.96	534.82	676.35	304.46	394.27	2039.28	701.00	793.00	907.00	410.00	493.00	492.00	247.54	267.07	312.83	793.00	800.33	1437.19	920.20	492.00	465.00	651.38	676.35	267.07	275.81	912.67	394.27	1039.16	103.20	106.29	47.63	976.71	33.51	12.89	72.31	10.24	16.32	12.15	107.02	972.19	466.00	213.00	564.00	414.33	181.11	33.77	15.43	40.87	30.02	13.12	66.23	84.57	59.13	69.98	353192.00	196003.00	1485267.00	678154.00	480.39	1292.85	6663.26	295.34	64.96	172.61	177.63	3473.97	169.69	533.19	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	835.57	810.45	1069.11	492.88	465.21	434.27	390.49	357.08	637.37	686.00	692.00	702.00	428.00	449.00	400.00	240.93	238.63	270.26	692.00	693.33	905.04	835.57	428.00	425.67	464.12	465.21	240.93	249.94	461.65	390.49	142.64	8.08	29.32	24.58	153.10	17.64	1.17	15.76	5.78	6.32	7.06	33.16	479.38	69.00	124.00	127.00	106.67	32.65	5.00	8.99	9.20	7.73	2.37	95.00	91.01	90.80	92.27	57654.00	100496.00	135777.00	97975.67	496.22	643.67	2131.66	54.30	68.79	37.97	53.69	635.15	144.67	105.31	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
