	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	2444.24	2314.75	2262.48	298.26	287.94	305.44	2214.50	2042.60	1998.69	2439.00	2266.00	2256.00	215.00	289.00	289.00	2209.25	1993.85	1992.21	2266.00	2320.33	2340.49	2314.75	289.00	264.33	297.21	298.26	1993.85	2065.10	2085.26	2042.60	93.58	102.89	8.80	42.72	114.05	124.84	4.43	4.00	16.16	2.96	6.05	5.47	2076.16	632.00	696.00	635.00	654.33	36.12	45.80	50.43	46.01	47.42	2.62	54.20	49.57	53.99	52.58	1544761.00	1611069.00	1436674.00	1530834.67	575.70	1227.00	537.48	2431.05	1158.64	2361.35	1983.68	436.30	151.53	700.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	2575.44	2489.17	2493.47	300.64	276.66	260.58	2303.30	2224.24	2232.32	2688.00	2670.00	2591.00	285.00	284.00	282.00	2415.86	2405.07	2329.85	2670.00	2649.67	2519.36	2493.47	284.00	283.67	279.29	276.66	2405.07	2383.59	2253.29	2232.32	48.61	51.60	20.16	1.53	43.50	46.85	1.95	1.93	0.54	7.22	1.97	1.93	2235.69	832.00	864.00	849.00	848.33	16.01	60.29	62.61	61.52	61.47	1.16	39.71	37.39	38.48	38.53	2142765.00	2150645.00	2116954.00	2136788.00	653.61	786.44	679.93	2931.93	2443.59	2787.38	2720.97	172.06	142.69	40.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	3614.21	3517.52	3510.64	2241.39	2057.50	2024.95	1785.00	1848.82	1814.04	3050.00	2928.00	2801.00	499.00	404.00	398.00	1220.78	1259.30	1104.40	2928.00	2926.33	3547.46	3517.52	404.00	433.67	2107.95	2057.50	1220.78	1194.83	1815.95	1814.04	57.92	124.51	116.71	56.66	31.95	80.64	4.25	1.63	13.07	5.54	6.75	1.76	3113.79	889.00	920.00	903.00	904.00	15.52	64.42	66.67	65.43	65.51	1.12	35.58	33.33	34.57	34.49	3213037.00	3236117.00	3170108.00	3206420.67	2141.60	1617.47	1793.81	740.97	1051.59	913.18	901.91	3080.55	2795.77	2539.03	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	2124.12	1386.89	2804.25	343.39	289.78	332.27	1789.61	1108.25	2504.85	613.00	636.00	778.00	299.00	282.00	293.00	278.49	357.37	478.60	636.00	675.67	2105.08	2124.12	293.00	291.33	321.81	332.27	357.37	371.49	1800.90	1789.61	708.87	89.37	28.29	8.62	698.37	100.80	13.23	33.67	2.96	8.79	27.13	38.78	1813.75	77.00	44.00	16.00	45.67	30.53	5.58	3.19	1.16	3.31	2.21	94.42	96.81	98.84	96.69	163557.00	61023.00	44868.00	89816.00	5041.25	3662.14	4577.80	27.33	13.32	8.75	16.47	92.62	146.00	370.33	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	3196.11	916.83	1316.59	444.04	346.79	344.45	2851.34	575.55	976.93	967.00	602.00	663.00	302.00	306.00	304.00	622.23	260.72	323.34	663.00	744.00	1809.84	1316.59	304.00	304.00	378.43	346.79	323.34	402.10	1467.94	976.93	1217.06	195.52	56.83	2.00	1214.75	193.20	26.28	67.25	0.66	15.02	48.05	82.75	1505.84	38.00	159.00	44.00	80.33	68.19	2.75	11.52	3.19	5.82	4.94	97.25	88.48	96.81	94.18	121452.00	145776.00	57930.00	108386.00	4723.67	1837.68	2018.81	22.94	49.80	21.29	31.34	1112.32	72.48	89.82	3	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	1940.91	928.91	821.48	686.76	573.05	421.87	1327.13	502.14	422.60	1583.00	745.00	640.00	494.00	397.00	390.00	969.22	318.22	241.12	745.00	989.33	1230.43	928.91	397.00	427.00	560.56	573.05	318.22	509.52	750.62	502.14	617.63	516.80	132.89	58.13	500.85	399.98	52.24	50.20	13.61	23.71	78.50	66.73	803.43	492.00	286.00	326.00	368.00	109.23	35.65	20.72	23.62	26.67	7.92	64.35	79.28	76.38	73.33	954928.00	265669.00	267803.00	496133.33	1882.52	1079.52	1158.43	346.85	133.03	118.93	199.60	541.86	2132.96	171.39	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	907.09	829.60	814.67	358.55	366.43	425.88	588.90	470.95	399.76	572.00	624.00	638.00	296.00	383.00	391.00	253.82	265.35	223.09	624.00	611.33	850.45	829.60	383.00	356.67	383.62	366.43	253.82	247.42	486.54	470.95	49.61	34.78	36.81	52.69	95.53	21.84	5.69	5.83	14.77	9.60	8.83	19.63	493.78	127.00	348.00	141.00	205.33	123.75	9.20	25.22	10.22	14.88	8.97	90.80	74.78	89.78	85.12	115200.00	288700.00	114868.00	172922.67	1342.37	1021.21	746.71	55.72	160.49	75.49	97.23	490.73	92.07	142.93	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
8	antigen 112	SOX1	1	1	8	1114.01	715.60	1769.10	373.36	258.17	304.40	791.15	461.23	1471.62	537.00	499.00	520.00	297.00	280.00	292.00	214.14	244.63	222.51	520.00	518.67	1199.57	1114.01	292.00	289.67	311.98	304.40	222.51	227.10	908.00	791.15	531.94	19.04	57.97	8.74	515.23	15.75	3.67	44.34	3.02	18.58	6.94	56.74	909.90	135.00	60.00	58.00	84.33	43.89	9.78	4.35	4.20	6.11	3.18	90.22	95.65	95.80	93.89	150391.00	42936.00	102608.00	98645.00	2243.20	1230.94	4422.29	47.61	22.48	19.30	29.80	685.85	60.08	92.91	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	1238.33	1022.91	636.72	263.67	301.79	278.84	976.21	726.59	359.16	574.00	507.00	507.00	275.00	299.00	292.00	311.88	210.68	229.44	507.00	529.33	965.99	1022.91	292.00	288.67	281.43	278.84	229.44	250.67	687.32	726.59	304.82	38.68	19.19	12.34	310.40	53.83	7.31	31.56	4.28	6.82	21.48	45.16	677.32	195.00	76.00	86.00	119.00	66.01	14.13	5.51	6.23	8.62	4.78	85.87	94.49	93.77	91.38	241475.00	77741.00	54758.00	124658.00	2324.50	3475.21	413.95	81.89	15.89	74.62	57.47	48.06	72.29	46.36	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	1067.03	3394.86	3284.83	301.72	392.11	257.40	773.64	3090.44	3034.84	536.00	810.00	950.00	292.00	295.00	229.00	242.61	505.57	700.00	810.00	765.33	2582.24	3284.83	292.00	272.00	317.08	301.72	505.57	482.73	2299.64	3034.84	1313.37	210.58	68.66	37.27	1321.85	229.55	27.52	50.86	13.70	21.65	47.55	57.48	2310.24	34.00	22.00	24.00	26.67	6.43	2.46	1.59	1.74	1.93	0.47	97.54	98.41	98.26	98.07	36279.00	74687.00	78836.00	63267.33	1484.06	5734.06	9010.58	17.72	11.86	8.08	12.55	104.29	614.97	98.66	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
