"Annotation"	"Name"	"Grid"	"Row"	"Column"	"spot"	"Category"
"Cy5-biotin-BSA low 1st grid"	"Cy5 BSA 5ng/ul"	1	1	1	"Cy5-biotin-BSA low 1st grid"	"remove"
"Cy5-biotin-BSA med 1st grid"	"Cy5 BSA 10ng/ul"	1	1	2	"Cy5-biotin-BSA med 1st grid"	"remove"
"Cy5-biotin-BSA high 1st grid"	"Cy5 BSA 15ng/ul"	1	1	3	"Cy5-biotin-BSA high 1st grid"	"remove"
"antigen 007"	"COL6A1"	1	1	4	"antigen 007"	""
"antigen 011"	"CT62"	1	1	5	"antigen 011"	""
"antigen 015"	"DSCR8/MMA1"	1	1	6	"antigen 015"	""
"antigen 032"	"MAGEA3"	1	1	7	"antigen 032"	""
"antigen 112"	"SOX1"	1	1	8	"antigen 112"	""
"antigen 036"	"MAGEA5"	1	2	1	"antigen 036"	""
"antigen 040"	"MART-1"	1	2	2	"antigen 040"	""
"antigen 044"	"NY-CO-45"	1	2	3	"antigen 044"	""
"antigen 064"	"THEG"	1	2	4	"antigen 064"	""
"antigen 068"	"TYR"	1	2	5	"antigen 068"	""
"antigen 072"	"ZNF165"	1	2	6	"antigen 072"	""
"antigen 076"	"CDK7"	1	2	7	"antigen 076"	""
"CT100 Control Buffer only 1st grid"	"Buffer"	1	2	8	"CT100 Control Buffer only 1st grid"	"remove"
"antigen 003"	"BAGE4"	1	6	7	"antigen 003"	""
"antigen 096"	"p53 M133T"	1	7	1	"antigen 096"	""
""	""	1	7	7	""	""
"antigen 104"	"ACVR2A"	1	8	1	"antigen 104"	""
"antigen 108"	"PIM1"	1	8	2	"antigen 108"	""
"Cy5-biotin-BSA low 2nd grid"	"Cy5 BSA 5ng/ul"	2	1	1	"Cy5-biotin-BSA low 2nd grid"	"remove"
"Cy5-biotin-BSA med 2nd grid"	"Cy5 BSA 10ng/ul"	2	1	2	"Cy5-biotin-BSA med 2nd grid"	"remove"
"Cy5-biotin-BSA high 2nd grid"	"Cy5 BSA 15ng/ul"	2	1	3	"Cy5-biotin-BSA high 2nd grid"	"remove"
"antigen 006"	"CEP290"	2	1	4	"antigen 006"	""
"antigen 010"	"CT47.11"	2	1	5	"antigen 010"	""
"antigen 014"	"DDX53"	2	1	6	"antigen 014"	""
"antigen 031"	"MAGEA2"	2	1	7	"antigen 031"	""
"antigen 111"	"DPPA2"	2	1	8	"antigen 111"	""
"antigen 035"	"MAGEA4v4"	2	2	1	"antigen 035"	""
"antigen 039"	"MAGEB6"	2	2	2	"antigen 039"	""
"antigen 043"	"NXF2"	2	2	3	"antigen 043"	""
"antigen 063"	"SYCP1"	2	2	4	"antigen 063"	""
"antigen 067"	"TSSK6"	2	2	5	"antigen 067"	""
"antigen 071"	"XAGE3av2"	2	2	6	"antigen 071"	""
"antigen 075"	"CDK4"	2	2	7	"antigen 075"	""
"CT100 Control Buffer only 2nd grid"	"Buffer"	2	2	8	"CT100 Control Buffer only 2nd grid"	"remove"
"antigen 002"	"BAGE3"	2	6	7	"antigen 002"	""
"antigen 095"	"p53 S392A"	2	7	1	"antigen 095"	""
"antigen 103"	"SOX2"	2	8	1	"antigen 103"	""
"antigen 107"	"MAP9"	2	8	2	"antigen 107"	""
"Cy5-biotin-BSA low 3rd grid"	"Cy5 BSA 5ng/ul"	3	1	1	"Cy5-biotin-BSA low 3rd grid"	"remove"
"Cy5-biotin-BSA med 3rd grid"	"Cy5 BSA 10ng/ul"	3	1	2	"Cy5-biotin-BSA med 3rd grid"	"remove"
"Cy5-biotin-BSA high 3rd grid"	"Cy5 BSA 15ng/ul"	3	1	3	"Cy5-biotin-BSA high 3rd grid"	"remove"
"antigen 005"	"CCDC33"	3	1	4	"antigen 005"	""
"antigen 009"	"CSAG2"	3	1	5	"antigen 009"	""
"antigen 013"	"CXorf48.1"	3	1	6	"antigen 013"	""
"antigen 030"	"MAGEA11"	3	1	7	"antigen 030"	""
"antigen 110"	"SPATS1 (isoform a)"	3	1	8	"antigen 110"	""
"antigen 034"	"MAGEA4v3"	3	2	1	"antigen 034"	""
"antigen 038"	"MAGEB5"	3	2	2	"antigen 038"	""
"antigen 042"	"NLRP4"	3	2	3	"antigen 042"	""
"antigen 062"	"SYCE1"	3	2	4	"antigen 062"	""
"antigen 066"	"TSGA10"	3	2	5	"antigen 066"	""
"antigen 070"	"XAGE3av1"	3	2	6	"antigen 070"	""
"antigen 074"	"CDK2"	3	2	7	"antigen 074"	""
"CT100 Control Buffer only 3rd grid"	"Buffer"	3	2	8	"CT100 Control Buffer only 3rd grid"	"remove"
"antigen 001"	"BAGE2"	3	6	7	"antigen 001"	""
