"protein"	"Category"
"A1BG"	"analyte"
"AAK1"	"analyte"
"AARS"	"analyte"
"ABCF1"	"analyte"
"ABCF3"	"analyte"
"ABI1"	"analyte"
"ABL2"	"analyte"
"ABT1"	"analyte"
"ACAT2"	"analyte"
"ACPP"	"analyte"
"ACRBP"	"analyte"
"ACSL6"	"analyte"
"ACTA1"	"analyte"
"ACTB"	"analyte"
"ACTL7B"	"analyte"
"ACTL8"	"analyte"
"ACTR2"	"analyte"
"ACVR1"	"analyte"
"ACVR1C"	"analyte"
"ACVR2A"	"analyte"
"ADAM2"	"analyte"
"ADAM29"	"analyte"
"ADCK1"	"analyte"
"ADD1"	"analyte"
"ADSL"	"analyte"
"AFF4"	"analyte"
"AFP"	"analyte"
"AGR2"	"analyte"
"AHSG"	"analyte"
"AICDA"	"analyte"
"AIF1"	"analyte"
"AIFM1"	"analyte"
"AIFM2"	"analyte"
"AIFM3"	"analyte"
"AIM2"	"analyte"
"AK1"	"analyte"
"AK2"	"analyte"
"AK3"	"analyte"
"AK4"	"analyte"
"AK7"	"analyte"
"AK9"	"analyte"
"AKAP3"	"analyte"
"AKAP4"	"analyte"
"AKT1"	"analyte"
"AKT2"	"analyte"
"AKT3"	"analyte"
"ALDOA"	"analyte"
"ALOX15"	"analyte"
"ALOX15B"	"analyte"
"ALPK1"	"analyte"
"ALX1"	"analyte"
"AMD1"	"analyte"
"AMOTL2"	"analyte"
"AMT"	"analyte"
"ANKRD13A"	"analyte"
"ANKRD45"	"analyte"
"ANXA1"	"analyte"
"ANXA11"	"analyte"
"ANXA2"	"analyte"
"AP2M1"	"analyte"
"APCS"	"analyte"
"APEX1"	"analyte"
"API5"	"analyte"
"APOBEC3G"	"analyte"
"APP"	"analyte"
"APPL1"	"analyte"
"AR"	"analyte"
"ARAF"	"analyte"
"AREG"	"analyte"
"ARHGDIA"	"analyte"
"ARHGDIB"	"analyte"
"ARHGDIG"	"analyte"
"ARIH2"	"analyte"
"ARL1"	"analyte"
"ARMC3"	"analyte"
"ARNT"	"analyte"
"ARRB1"	"analyte"
"ARX"	"analyte"
"ASB1"	"analyte"
"ASCL1"	"analyte"
"ASNA1"	"analyte"
"ASPSCR1"	"analyte"
"ATF1"	"analyte"
"ATF2"	"analyte"
"ATF3"	"analyte"
"ATF4"	"analyte"
"ATF5"	"analyte"
"ATG12"	"analyte"
"ATG7"	"analyte"
"ATIC"	"analyte"
"ATP5B"	"analyte"
"ATXN3"	"analyte"
"AURKA"	"analyte"
"AURKB"	"analyte"
"AXIN1"	"analyte"
"AXL_int"	"analyte"
"BACH1"	"analyte"
"BAD"	"analyte"
"BAG3"	"analyte"
"BAG4"	"analyte"
"BAGE2"	"analyte"
"BANK1"	"analyte"
"BASP1"	"analyte"
"BATF"	"analyte"
"BCKDK"	"analyte"
"BCL10"	"analyte"
"BCL2A1"	"analyte"
"BCL2L14"	"analyte"
"BCR"	"analyte"
"BDNF"	"analyte"
"BID"	"analyte"
"BIRC2"	"analyte"
"BIRC3"	"analyte"
"BIRC5"	"analyte"
"BIRC7"	"analyte"
"BLK"	"analyte"
"BLZF1"	"analyte"
"BMP7"	"analyte"
"BMPR1A"	"analyte"
"BMPR1B"	"analyte"
"BMPR2"	"analyte"
"BMX"	"analyte"
"BOLA3"	"analyte"
"BOP1"	"analyte"
"BPI"	"analyte"
"BPIFA1"	"analyte"
"BRAF"	"analyte"
"BRD2"	"analyte"
"BRD3"	"analyte"
"BRD8"	"analyte"
"BRDT"	"analyte"
"BRSK1"	"analyte"
"BRSK2"	"analyte"
"BTF3"	"analyte"
"BTG1"	"analyte"
"BTG3"	"analyte"
"BTRC"	"analyte"
"BUB1"	"analyte"
"BUB1B"	"analyte"
"BUD31"	"analyte"
"C1D"	"analyte"
"C1orf174"	"analyte"
"C1orf216"	"analyte"
"C21orf2"	"analyte"
"C21orf33"	"analyte"
"C4BPA"	"analyte"
"C6"	"analyte"
"C6orf106"	"analyte"
"CA1"	"analyte"
"CA4"	"analyte"
"CA9"	"analyte"
"CAB39L"	"analyte"
"CABYR"	"analyte"
"CAGE1"	"analyte"
"CALM2"	"analyte"
"CALM3"	"analyte"
"CALML4"	"analyte"
"CALR"	"analyte"
"CALR3"	"analyte"
"CALU"	"analyte"
"CAMK1"	"analyte"
"CAMK1G"	"analyte"
"CAMK2A"	"analyte"
"CAMK2B"	"analyte"
"CAMK2D"	"analyte"
"CAMK2G"	"analyte"
"CAMK4"	"analyte"
"CAMKK1"	"analyte"
"CAMKK2"	"analyte"
"CAMKV"	"analyte"
"CAPG"	"analyte"
"CARD8"	"analyte"
"CARD9"	"analyte"
"CARHSP1"	"analyte"
"CASP1"	"analyte"
"CASP10"	"analyte"
"CASP3"	"analyte"
"CASP4"	"analyte"
"CASP6"	"analyte"
"CASP7"	"analyte"
"CASP9"	"analyte"
"CASS4"	"analyte"
"CBFA2T3"	"analyte"
"CBFB"	"analyte"
"CBLC"	"analyte"
"CBX5"	"analyte"
"CCDC110"	"analyte"
