"Block"	"Column"	"Row"	"ID"	"Name"	"Gene_symbol"	"spot"	"Category"
1	1	1	"CTRL_A01"	"Cy3BSA_1"	"zzz_Cy3BSA_1"	"zzz_Cy3BSA_1"	"control"
1	2	1	"CTRL_A03"	"iga1"	"zzz_iga1"	"zzz_iga1"	"control"
1	3	1	"CTRL_A02"	"igg1"	"zzz_igg1"	"zzz_igg1"	"control"
1	4	1	"CTRL_B01"	"Cy3BSA_2"	"zzz_Cy3BSA_2"	"zzz_Cy3BSA_2"	"control"
1	5	1	"CTRL_B03"	"iga2"	"zzz_iga2"	"zzz_iga2"	"control"
1	6	1	"CTRL_B02"	"igg2"	"zzz_igg2"	"zzz_igg2"	"control"
1	7	1	"CTRL_C01"	"Cy3BSA_3"	"zzz_Cy3BSA_3"	"zzz_Cy3BSA_3"	"control"
1	8	1	"CTRL_C03"	"iga3"	"zzz_iga3"	"zzz_iga3"	"control"
1	9	1	"CTRL_C02"	"igg3"	"zzz_igg3"	"zzz_igg3"	"control"
1	10	1	"CTRL_D01"	"Cy3BSA_4"	"zzz_Cy3BSA_4"	"zzz_Cy3BSA_4"	"control"
1	11	1	"CTRL_D03"	"iga4"	"zzz_iga4"	"zzz_iga4"	"control"
1	12	1	"CTRL_D02"	"igg4"	"zzz_igg4"	"zzz_igg4"	"control"
1	13	1	"CTRL_E01"	"Cy3BSA_5"	"zzz_Cy3BSA_5"	"zzz_Cy3BSA_5"	"control"
1	14	1	"CTRL_E03"	"iga5"	"zzz_iga5"	"zzz_iga5"	"control"
1	15	1	"CTRL_E02"	"igg5"	"zzz_igg5"	"zzz_igg5"	"control"
1	16	1	"CTRL_F01"	"Cy3BSA_6"	"zzz_Cy3BSA_6"	"zzz_Cy3BSA_6"	"control"
1	17	1	"CTRL_F03"	"iga6"	"zzz_iga6"	"zzz_iga6"	"control"
1	18	1	"CTRL_F02"	"igg6"	"zzz_igg6"	"zzz_igg6"	"control"
1	19	1	"CTRL_G01"	"Cy3BSA_7"	"zzz_Cy3BSA_7"	"zzz_Cy3BSA_7"	"control"
1	20	1	"CTRL_G03"	"bccp1"	"zzz_bccp1"	"zzz_bccp1"	"control"
1	21	1	"CTRL_G02"	"igm1"	"zzz_igm1"	"zzz_igm1"	"control"
1	22	1	"CTRL_H01"	"Cy3BSA_8"	"zzz_Cy3BSA_8"	"zzz_Cy3BSA_8"	"control"
1	23	1	"CTRL_H03"	"bccp2"	"zzz_bccp2"	"zzz_bccp2"	"control"
1	24	1	"CTRL_H02"	"igm2"	"zzz_igm2"	"zzz_igm2"	"control"
1	25	1	"CTRL_I01"	"Cy3BSA_9"	"zzz_Cy3BSA_9"	"zzz_Cy3BSA_9"	"control"
1	26	1	"CTRL_I03"	"bccp3"	"zzz_bccp3"	"zzz_bccp3"	"control"
1	27	1	"CTRL_I02"	"igm3"	"zzz_igm3"	"zzz_igm3"	"control"
1	28	1	"CTRL_J01"	"Cy3BSA_10"	"zzz_Cy3BSA_10"	"zzz_Cy3BSA_10"	"control"
1	29	1	"CTRL_J03"	"bccp4"	"zzz_bccp4"	"zzz_bccp4"	"control"
1	30	1	"CTRL_J02"	"igm4"	"zzz_igm4"	"zzz_igm4"	"control"
1	31	1	"CTRL_K01"	"Cy3BSA_11"	"zzz_Cy3BSA_11"	"zzz_Cy3BSA_11"	"control"
1	32	1	"CTRL_K03"	"bccp5"	"zzz_bccp5"	"zzz_bccp5"	"control"
1	33	1	"CTRL_K02"	"igm5"	"zzz_igm5"	"zzz_igm5"	"control"
1	34	1	"CTRL_L01"	"Cy3BSA_12"	"zzz_Cy3BSA_12"	"zzz_Cy3BSA_12"	"control"
1	35	1	"CTRL_L03"	"bccp6"	"zzz_bccp6"	"zzz_bccp6"	"control"
1	36	1	"CTRL_L02"	"igm6"	"zzz_igm6"	"zzz_igm6"	"control"
1	37	1	"CTRL_M01"	"Cy3BSA_13"	"zzz_Cy3BSA_13"	"zzz_Cy3BSA_13"	"control"
1	38	1	"CTRL_M03"	"BSA_1"	"zzz_BSA_1"	"zzz_BSA_1"	"control"
1	39	1	"CTRL_M02"	"Cy3BSA_17"	"zzz_Cy3BSA_17"	"zzz_Cy3BSA_17"	"control"
1	40	1	"CTRL_N01"	"Cy3BSA_14"	"zzz_Cy3BSA_14"	"zzz_Cy3BSA_14"	"control"
1	41	1	"CTRL_N03"	"Cy3BSA_21"	"zzz_Cy3BSA_21"	"zzz_Cy3BSA_21"	"control"
1	42	1	"CTRL_N02"	"Cy3BSA_18"	"zzz_Cy3BSA_18"	"zzz_Cy3BSA_18"	"control"
1	43	1	"CTRL_O01"	"Cy3BSA_15"	"zzz_Cy3BSA_15"	"zzz_Cy3BSA_15"	"control"
1	44	1	"CTRL_O03"	"Cy3BSA_22"	"zzz_Cy3BSA_22"	"zzz_Cy3BSA_22"	"control"
1	45	1	"CTRL_O02"	"Cy3BSA_19"	"zzz_Cy3BSA_19"	"zzz_Cy3BSA_19"	"control"
1	46	1	"CTRL_P01"	"Cy3BSA_16"	"zzz_Cy3BSA_16"	"zzz_Cy3BSA_16"	"control"
1	47	1	"CTRL_P03"	"Cy3BSA_23"	"zzz_Cy3BSA_23"	"zzz_Cy3BSA_23"	"control"
1	48	1	"CTRL_P02"	"Cy3BSA_20"	"zzz_Cy3BSA_20"	"zzz_Cy3BSA_20"	"control"
1	1	2	"PLTA_A01"	"beta-galactosidase-BCCP-Myc"	"ZZ_con1"	"ZZ_con1"	"control"
1	2	2	"PLTA_A02"	"Homo_sapiens__Homo_sapiens_signal_transducer_and_activator_of_transcription_3_(acute-phase_response_fac"	"STAT3"	"STAT3"	"analyte"
1	3	2	"PLTA_A03"	"BCCP-Myc"	"ZZ_con2"	"ZZ_con2"	"control"
1	4	2	"PLTA_B01"	"Homo_sapiens_paired_box_gene_8_transcript_variant_PAX8A"	"PAX8"	"PAX8"	"analyte"
1	5	2	"PLTA_B02"	"Homo_sapiens_cAMP-regulated_guanine_nucleotide_exchange_factor_II"	"RAPGEF4"	"RAPGEF4"	"analyte"
1	6	2	"PLTA_B03"	"Homo_sapiens_exostoses_(multiple)_1"	"EXT1"	"EXT1"	"analyte"
1	7	2	"PLTA_C01"	"Homo_sapiens_v-raf-1_murine_leukemia_viral_oncogene_homolog_1"	"RAF1"	"RAF1"	"analyte"
1	8	2	"PLTA_C02"	"Homo_sapiens_ZNF384_zinc_finger_protein_384"	"ZNF384"	"ZNF384"	"analyte"
1	9	2	"PLTA_C03"	"Homo_sapiens_pim-2_oncogene"	"PIM2"	"PIM2"	"analyte"
1	10	2	"PLTA_D01"	"Homo_sapiens_RAP1_GTP-GDP_dissociation_stimulator_1"	"RAP1GDS1"	"RAP1GDS1"	"analyte"
1	11	2	"PLTA_D02"	"Homo_sapiens_folate_hydrolase_(prostate-specific_membrane_antigen)_1"	"FOLH1"	"FOLH1"	"analyte"
1	12	2	"PLTA_D03"	"Homo_sapiens_damage-specific_DNA_binding_protein_2_48kDa"	"DDB2"	"DDB2"	"analyte"
1	13	2	"PLTA_E01"	"Homo_sapiens_protein_kinase_cAMP-dependent_catalytic_gamma"	"PRKACG"	"PRKACG"	"analyte"
1	14	2	"PLTA_E02"	"Homo_sapiens_Similar_to_Wiskott-Aldrich_syndrome_(eczema-thrombocytopenia)"	"WAS"	"WAS"	"analyte"
1	15	2	"PLTA_E03"	"Homo_sapiens_zeta-chain_(TCR)_associated_protein_kinase_70kDa"	"ZAP70"	"ZAP70"	"analyte"
1	16	2	"PLTA_F01"	"Homo_sapiens_peroxisome_proliferative_activated_receptor_gamma_transcript_variant_3"	"PPARG"	"PPARG"	"analyte"
1	17	2	"PLTA_F02"	"Homo_sapiens_fibroblast_growth_factor_1_(acidic)"	"FGF1"	"FGF1"	"analyte"
1	18	2	"PLTA_F03"	"Homo_sapiens_core-binding_factor_beta_subunit_transcript_variant_2"	"CBFB"	"CBFB"	"analyte"
1	19	2	"PLTA_G01"	"Homo_sapiens_cDNA"	"PRKD3"	"PRKD3"	"analyte"
1	20	2	"PLTA_G02"	"Homo_sapiens_NUP98_nucleoporin"	"zzzz_NUP98"	"zzzz_NUP98"	"control"
1	21	2	"PLTA_G03"	"Homo_sapiens_mitogen-activated_protein_kinase_kinase_7"	"MAP2K7"	"MAP2K7"	"analyte"
1	22	2	"PLTA_H01"	"Homo_sapiens_chimerin_(chimaerin)_1"	"CHN1"	"CHN1"	"analyte"
1	23	2	"PLTA_H02"	"Homo_sapiens_G6PD_glucose-6-phosphate_dehydrogenase"	"zzzz_G6PD"	"zzzz_G6PD"	"control"
1	24	2	"PLTA_H03"	"Homo_sapiens_salvador_homolog_1_(Drosophila)"	"SAV1"	"SAV1"	"analyte"
1	25	2	"PLTA_I01"	"Homo_sapiens_cell_division_cycle_2_G1_to_S_and_G2_to_M_transcript_variant_1"	"CDK1"	"CDK1"	"analyte"
1	26	2	"PLTA_I02"	"Homo_sapiens__Homo_sapiens_guanine_nucleotide_binding_protein_(G_protein)_gamma_transducing_activity_p"	"GNGT2"	"GNGT2"	"analyte"
1	27	2	"PLTA_I03"	"Homo_sapiens_protein_kinase_C_zeta"	"PRKCZ"	"PRKCZ"	"analyte"
1	28	2	"PLTA_J01"	"Homo_sapiens_TNF_receptor-associated_factor_6_transcript_variant_1"	"TRAF6"	"TRAF6"	"analyte"
1	29	2	"PLTA_J02"	"Homo_sapiens_superoxide_dismutase_1_soluble_(amyotrophic_lateral_sclerosis_1_(adult))"	"SOD1"	"SOD1"	"analyte"
1	30	2	"PLTA_J03"	"Homo_sapiens_RAD51-like_1_(S._cerevisiae)"	"RAD51B"	"RAD51B"	"analyte"
1	31	2	"PLTA_K01"	"Homo_sapiens_cyclin-dependent_kinase_4_transcript_variant_1"	"CDK4"	"CDK4"	"analyte"
1	32	2	"PLTA_K02"	"Homo_sapiens_LRDD_leucine-rich_repeats_and_death_domain_containing"	"PIDD1"	"PIDD1"	"analyte"
1	33	2	"PLTA_K03"	"Homo_sapiens_CHK2_checkpoint_homolog_(S._pombe)_transcript_variant_1"	"CHEK2"	"CHEK2"	"analyte"
1	34	2	"PLTA_L01"	"Homo_sapiens_platelet-derived_growth_factor_beta_polypeptide_(simian_sarcoma_viral_(v-sis"	"PDGFB"	"PDGFB"	"analyte"
1	35	2	"PLTA_L02"	"Homo_sapiens_guanine_nucleotide_binding_protein_(G_protein)_beta_polypeptide_3"	"GNB3"	"GNB3"	"analyte"
1	36	2	"PLTA_L03"	"Homo_sapiens_fusion_(involved_in_t(1216)_in_malignant_liposarcoma)"	"FUS"	"FUS"	"analyte"
1	37	2	"PLTA_M01"	"Homo_sapiens_CSNK1E_casein_kinase_1_epsilon"	"zzzz_CSNK1E"	"zzzz_CSNK1E"	"control"
