"protein"	"Category"
"B24_1"	""
"dsDNA1"	""
"IFNA1"	""
"IFNG"	""
"IFNW1"	""
"SARS-COV-2_N_core_domains"	""
"SARS-COV-2_N_CTD"	""
"SARS-COV-2_N_IDR_epitope1"	""
"SARS-COV-2_N_IDR_epitope2"	""
"SARS-COV-2_N_IDR_epitope3"	""
"SARS-COV-2_N_NTD"	""
"SARS-COV-2_S_ectodomain_trimer"	""
"SARS-COV-2_S_RBD"	""
"SARS-COV-2_S_S1"	""
"SNRNP70"	""
"SNRPB"	""
"SSB"	""
"TNFa"	""
"TROVE2"	""
"zzz_Cy3BSA"	"control"
"zzz_iga1"	"control"
"zzz_iga2"	"control"
"zzz_igg1"	"control"
"zzz_igg2"	"control"
"zzz_igm1"	"control"
"zzz_igm2"	"control"
"zzzz_bccp1"	"control"
