ATF	1.0
29	33
"Checksum_ImageFile=232cfb7701d481c6424e9d4c689085ee"
"Checksum_ResultFile=3ffcc9372bf4f15a7b69fb34087c9473"
"Type=GenePix Results 3"
"DateTime=2019/06/09 18:46:36"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH001_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH001_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2000, 9420"
"ImageSize=18810.0, 10770.0"
"JpegOrigin=2200, 10145"
"JpegBrightness=51"
"JpegContrast=24"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
6	7	6	10383.00	17710.00	400.00	0	63382.07	65535.00	10818.71	0.01	0.17	598.00	8906.94	598.00	21425.87	1.17	2.41	96.00	96.00	95.48	64937.00	62784.07	302590336.00	2.54	44236.60	65535.00	4774	23346	100	biotin-ahIgG	""	Undefined
6	4	7	8719.00	18264.00	400.00	0	65253.50	65535.00	2980.33	0.00	0.05	388.00	6250.33	388.00	18108.89	1.21	2.90	99.00	99.00	98.79	65147.00	64865.50	311720448.00	3.26	54509.35	65535.00	4777	23376	100	biotin-ahIgG	""	Undefined
6	6	7	9829.00	18261.00	400.00	0	65509.58	65535.00	800.84	0.00	0.01	508.00	8924.57	508.00	21657.74	1.24	2.43	100.00	99.00	99.87	65027.00	65001.58	313140320.00	2.61	57125.00	65535.00	4780	23349	100	biotin-ahIgG	""	Undefined
5	7	6	5883.00	17723.00	400.00	0	5482.61	5088.50	3185.25	0.03	0.58	216.00	713.44	216.00	1614.52	0.52	2.26	99.00	98.00	0.06	4872.50	5266.61	26228720.00	2.95	4795.14	4563.00	4784	23344	100	biotin-hIgG 10ng/ul	""	Undefined
5	4	7	4219.00	18277.00	400.00	0	5049.40	4823.00	2525.09	0.02	0.50	287.00	746.56	287.00	1974.71	0.42	2.65	98.00	76.00	0.06	4536.00	4762.40	24110772.00	2.18	4081.95	4456.50	4775	23351	100	biotin-hIgG 10ng/ul	""	Undefined
5	6	7	5329.00	18274.00	400.00	0	4853.83	4698.00	1139.39	0.01	0.23	242.00	872.71	242.00	2132.44	0.56	2.44	99.00	57.00	0.00	4456.00	4611.83	23191538.00	1.87	4737.42	4784.50	4778	23375	100	biotin-hIgG 10ng/ul	""	Undefined
4	4	7	17706.00	13738.00	400.00	0	4001.01	4618.50	2271.37	0.06	0.57	305.00	1011.86	305.00	1714.23	0.52	1.69	76.00	72.00	0.00	4313.50	3696.01	19108834.00	1.74	2764.28	3547.50	4776	23350	100	biotin-hIgG 10ng/ul	""	Undefined
4	6	7	18816.00	13735.00	400.00	0	3741.09	4269.00	3927.62	0.06	1.05	358.00	1010.15	358.00	1661.41	0.45	1.64	72.00	64.00	0.21	3911.00	3383.09	17878668.00	1.64	2554.46	2409.50	4779	23358	100	biotin-hIgG 10ng/ul	""	Undefined
4	7	6	19369.00	13183.00	400.00	0	3633.37	4202.50	2536.71	0.06	0.70	409.00	1235.79	409.00	2019.43	0.48	1.63	74.00	41.00	0.02	3793.50	3224.37	17360252.00	1.19	2622.27	869.00	4778	23349	100	biotin-hIgG 10ng/ul	""	Undefined
7	2	1	12099.00	14955.00	400.00	0	2935.47	3204.00	1476.32	0.04	0.50	304.00	1057.52	304.00	1446.93	0.54	1.37	69.00	50.00	0.00	2900.00	2631.47	14013912.00	1.30	1990.35	1269.00	4774	24867	100	Cy5 BSA 10ng/ul	""	Undefined
3	2	5	12093.00	12655.00	400.00	0	2862.27	2741.00	1436.12	0.02	0.50	211.00	961.14	211.00	1410.67	0.66	1.47	71.00	46.00	0.00	2530.00	2651.27	13661610.00	1.35	2849.37	2568.00	4773	23341	100	Cy5 BSA 10ng/ul	""	Undefined
8	2	1	16599.00	14942.00	400.00	0	2859.64	2732.00	1278.84	0.02	0.45	301.00	1152.75	301.00	1550.61	0.58	1.35	72.00	35.00	0.00	2431.00	2558.64	13651899.00	1.10	3156.11	3647.50	4774	24841	100	Cy5 BSA 10ng/ul	""	Undefined
1	2	5	3093.00	12681.00	400.00	0	2367.79	2592.00	1068.39	0.04	0.45	243.00	570.51	243.00	799.42	0.37	1.40	88.00	59.00	0.00	2349.00	2124.79	11322794.00	2.25	2782.13	3086.00	4782	23352	100	Cy5 BSA 10ng/ul	""	Undefined
3	2	1	12086.00	10455.00	400.00	0	2649.34	2535.00	1343.62	0.02	0.51	190.00	834.13	190.00	1317.34	0.64	1.58	70.00	46.00	0.00	2345.00	2459.34	12642638.00	1.38	3165.86	3418.00	4772	25779	100	Cy5 BSA 10ng/ul	""	Undefined
4	2	5	16592.00	12642.00	400.00	0	2913.02	2517.00	1600.59	0.06	0.55	285.00	1187.57	285.00	1579.81	0.62	1.33	65.00	39.00	0.00	2232.00	2628.02	13932984.00	1.09	2258.85	1483.00	4783	23347	100	Cy5 BSA 10ng/ul	""	Undefined
3	2	3	12089.00	11555.00	400.00	0	2730.45	2457.00	1399.25	0.05	0.51	201.00	977.01	201.00	1426.72	0.69	1.46	67.00	42.00	0.00	2256.00	2529.45	13040636.00	1.23	3200.30	3466.00	4776	23375	100	Cy5 BSA 10ng/ul	""	Undefined
7	2	5	12106.00	17155.00	400.00	0	2494.56	2449.00	1081.85	0.01	0.43	306.00	1128.61	306.00	1397.80	0.57	1.24	71.00	30.00	0.00	2143.00	2188.56	11904061.00	0.98	2986.99	3277.00	4772	23359	100	Cy5 BSA 10ng/ul	""	Undefined
7	2	3	12103.00	16055.00	400.00	0	2613.24	2408.50	1296.32	0.04	0.50	370.00	1202.93	370.00	1515.63	0.51	1.26	63.00	29.00	0.00	2038.50	2243.24	12475607.00	0.93	2668.83	3216.00	4774	23346	100	Cy5 BSA 10ng/ul	""	Undefined
4	2	3	16589.00	11542.00	400.00	0	2810.11	2345.00	1472.36	0.08	0.52	236.00	1195.82	236.00	1600.57	0.70	1.34	64.00	35.00	0.00	2109.00	2574.11	13418273.00	1.01	2605.83	2028.00	4775	23356	100	Cy5 BSA 10ng/ul	""	Undefined
