ATF	1.0
29	33
"Checksum_ImageFile=77ffe4ce73d4ad7d1f1865d898548eef"
"Checksum_ResultFile=7748a01d475dee0820e7b12ba74fa6bb"
"Type=GenePix Results 3"
"DateTime=2019/06/09 18:48:20"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH005_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH005_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2000, 9420"
"ImageSize=18810.0, 10770.0"
"JpegOrigin=2105, 10100"
"JpegBrightness=27"
"JpegContrast=40"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2436.00	10454.00	400.00	0	633.16	586.00	532.98	0.03	0.84	712.00	1087.01	712.00	2159.13	0.18	1.99	0.00	0.00	0.00	-126.00	-78.84	3026482.00	-0.21	663.82	579.00	4780	26088	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	2991.00	10450.00	400.00	0	1313.20	1470.00	459.30	0.05	0.35	682.00	805.47	682.00	1155.20	0.07	1.43	9.00	0.00	0.00	788.00	631.20	6274456.00	0.44	1627.21	1521.00	4778	25779	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3546.00	10447.00	400.00	0	735.63	713.00	381.31	0.01	0.52	706.00	837.85	706.00	771.74	0.07	0.92	0.00	0.00	0.00	7.00	29.63	3519258.00	-0.13	752.13	770.00	4784	25776	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4101.00	10443.00	400.00	0	1922.45	1740.00	2476.50	0.04	1.29	695.00	884.64	695.00	647.91	0.10	0.73	97.00	26.00	0.08	1045.00	1227.45	9181600.00	1.60	1971.10	1786.50	4776	25786	100	COL6A1	""	Undefined
1	5	1	4656.00	10440.00	400.00	0	2131.43	1994.00	2012.73	0.03	0.94	605.00	828.70	605.00	736.62	0.14	0.89	99.00	42.00	0.04	1389.00	1526.43	10181845.00	1.77	1946.68	1863.50	4777	25780	100	CT62	""	Undefined
1	6	1	5211.00	10437.00	400.00	0	2076.54	1943.00	1470.53	0.03	0.71	522.00	783.93	522.00	1014.69	0.18	1.29	92.00	8.00	0.02	1421.00	1554.54	9932111.00	1.27	1920.25	1834.50	4783	25773	100	DSCR8/MMA1	""	Undefined
1	7	1	5766.00	10433.00	400.00	0	2234.27	2123.00	974.41	0.02	0.44	486.00	702.84	486.00	1093.27	0.16	1.56	99.00	12.00	0.00	1637.00	1748.27	10677598.00	1.40	2221.38	2109.50	4779	25789	100	MAGEA3	""	Undefined
1	8	1	6321.00	10430.00	400.00	0	1569.41	1403.00	1422.17	0.05	0.91	470.00	752.61	470.00	1203.95	0.20	1.60	25.00	1.00	0.02	933.00	1099.41	7487669.00	0.68	1939.68	1540.00	4771	26721	100	SOX1	""	Undefined
1	1	2	2439.00	11004.00	400.00	0	1645.88	1497.00	1204.64	0.04	0.73	749.00	1025.98	749.00	1667.81	0.14	1.63	3.00	0.00	0.02	748.00	896.88	7855807.00	0.37	1906.63	1563.00	4773	23742	100	MAGEA5	""	Undefined
1	2	2	2994.00	11000.00	400.00	0	1397.92	1281.00	1171.25	0.04	0.84	657.00	844.72	657.00	1276.40	0.11	1.51	2.00	0.00	0.00	624.00	740.92	6676470.00	0.43	1566.62	1232.00	4776	23354	100	MART-1	""	Undefined
1	3	2	3549.00	10997.00	400.00	0	1399.10	1293.00	1451.97	0.03	1.04	716.00	871.34	716.00	1342.05	0.09	1.54	0.00	0.00	0.04	577.00	683.10	6680722.00	0.39	1375.41	1317.00	4775	23343	100	NY-CO-45	""	Undefined
1	4	2	4104.00	10993.00	400.00	0	1591.31	1557.50	284.09	0.01	0.18	711.00	928.03	711.00	1256.99	0.12	1.35	5.00	0.00	0.00	846.50	880.31	7596912.00	0.53	1579.70	1571.00	4774	23352	100	THEG	""	Undefined
1	5	2	4659.00	10990.00	400.00	0	1755.34	1684.00	408.09	0.02	0.23	629.00	870.52	629.00	881.92	0.14	1.01	74.00	1.00	0.00	1055.00	1126.34	8385237.00	1.00	1742.68	1645.00	4777	23367	100	TYR	""	Undefined
1	6	2	5214.00	10987.00	400.00	0	1788.03	1708.00	487.87	0.02	0.27	549.00	746.83	549.00	629.70	0.13	0.84	99.00	41.00	0.00	1159.00	1239.03	8539636.00	1.65	1791.21	1699.00	4776	23351	100	ZNF165	""	Undefined
1	7	2	5769.00	10983.00	400.00	0	511.05	484.00	606.75	0.02	1.19	467.00	591.05	467.00	724.18	0.10	1.23	0.00	0.00	0.00	17.00	44.05	2439765.00	-0.11	535.98	481.00	4774	23354	100	CDK7	""	Undefined
1	8	2	6324.00	10980.00	400.00	0	369.02	366.00	77.64	0.00	0.21	437.00	596.32	437.00	870.30	0.13	1.46	0.00	0.00	0.00	-71.00	-67.98	1762084.00	-0.26	355.51	354.50	4775	24298	100	Buffer	""	Undefined
1	1	3	2443.00	11554.00	400.00	0	513.64	489.00	403.52	0.02	0.79	597.00	807.64	597.00	1238.04	0.13	1.53	0.00	0.00	0.00	-108.00	-83.36	2456240.00	-0.24	597.49	585.00	4782	23817	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	2998.00	11550.00	400.00	0	1398.87	1587.00	552.73	0.05	0.40	556.00	692.93	556.00	616.46	0.10	0.89	61.00	29.00	0.00	1031.00	842.87	6685183.00	1.15	1441.72	1652.00	4779	23349	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	3553.00	11547.00	400.00	0	655.03	672.00	182.59	0.01	0.28	655.00	786.64	655.00	1209.35	0.08	1.54	0.00	0.00	0.00	17.00	0.03	3129091.00	-0.11	724.33	743.00	4777	23344	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	3	4108.00	11543.00	400.00	0	1670.14	1583.50	924.47	0.02	0.55	679.00	880.38	679.00	1371.58	0.11	1.56	7.00	0.00	0.00	904.50	991.14	7986590.00	0.58	1623.99	1545.00	4782	23349	100	COL6A1	""	Undefined
1	5	3	4663.00	11540.00	400.00	0	2090.31	2027.00	849.83	0.01	0.41	605.00	870.40	605.00	935.45	0.16	1.07	96.00	11.00	0.00	1422.00	1485.31	9987488.00	1.30	2078.11	2007.00	4778	23348	100	CT62	""	Undefined
1	6	3	5218.00	11537.00	400.00	0	2470.01	2351.00	1813.47	0.02	0.73	554.00	865.43	554.00	886.44	0.19	1.02	99.00	51.00	0.04	1797.00	1916.01	11814040.00	1.81	2301.35	2235.00	4783	23348	100	DSCR8/MMA1	""	Undefined
1	7	3	5773.00	11533.00	400.00	0	2544.45	2397.50	1780.62	0.03	0.70	479.00	743.60	479.00	898.10	0.19	1.21	99.00	59.00	0.06	1918.50	2065.45	12167580.00	2.01	2499.44	2332.00	4782	23351	100	MAGEA3	""	Undefined
1	8	3	6327.00	11530.00	400.00	0	1732.47	1604.00	773.96	0.03	0.45	454.00	792.74	454.00	963.44	0.24	1.22	67.00	9.00	0.00	1150.00	1278.47	8272564.00	0.98	1774.68	1640.00	4775	24271	100	SOX1	""	Undefined
1	1	4	2446.00	12104.00	400.00	0	1618.14	1405.00	2294.64	0.06	1.42	601.00	796.65	601.00	969.54	0.12	1.22	31.00	1.00	0.06	804.00	1017.14	7737961.00	0.85	1721.40	1371.00	4782	23912	100	MAGEA5	""	Undefined
1	2	4	3001.00	12100.00	400.00	0	1226.51	1108.00	1808.58	0.04	1.47	553.00	744.08	553.00	931.37	0.13	1.25	3.00	0.00	0.04	555.00	673.51	5862711.00	0.52	1050.05	1040.50	4780	23339	100	MART-1	""	Undefined
1	3	4	3556.00	12097.00	400.00	0	1250.20	1182.00	725.54	0.02	0.58	597.00	729.25	597.00	365.71	0.09	0.50	98.00	23.00	0.00	585.00	653.20	5974720.00	1.42	1266.42	1175.00	4779	23344	100	NY-CO-45	""	Undefined
1	4	4	4111.00	12093.00	400.00	0	1482.69	1388.00	1046.03	0.03	0.71	590.00	777.26	590.00	436.07	0.12	0.56	100.00	43.00	0.00	798.00	892.69	7091702.00	1.62	1634.89	1398.00	4783	23347	100	THEG	""	Undefined
1	5	4	4666.00	12090.00	400.00	0	1764.50	1675.00	1048.65	0.02	0.59	563.00	802.75	563.00	580.23	0.15	0.72	100.00	42.00	0.00	1112.00	1201.50	8427238.00	1.66	1676.42	1593.50	4776	23344	100	TYR	""	Undefined
1	6	4	5221.00	12087.00	400.00	0	1843.50	1771.00	572.10	0.02	0.31	522.00	769.98	522.00	586.32	0.17	0.76	100.00	54.00	0.00	1249.00	1321.50	8815603.00	1.83	1907.67	1895.00	4782	23340	100	ZNF165	""	Undefined
1	7	4	5776.00	12083.00	400.00	0	516.06	502.00	359.74	0.01	0.70	489.00	646.73	489.00	661.10	0.12	1.02	0.00	0.00	0.00	13.00	27.06	2467778.00	-0.20	504.51	495.00	4782	23343	100	CDK7	""	Undefined
