ATF	1.0
29	33
"Checksum_ImageFile=1e185c4e339c8ee5b6f82c959b6bdda7"
"Checksum_ResultFile=1ccd22db3901163906f1bf4b4c871be1"
"Type=GenePix Results 3"
"DateTime=2019/06/09 19:16:18"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH007_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH007_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2030, 40770"
"ImageSize=19170.0, 10260.0"
"JpegOrigin=2225, 41605"
"JpegBrightness=32"
"JpegContrast=39"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2558.00	41954.00	400.00	0	1410.48	1438.00	441.48	0.01	0.31	628.00	867.94	628.00	1025.53	0.14	1.18	19.00	0.00	0.00	810.00	782.48	6729414.00	0.53	1607.43	1597.00	4771	28006	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3113.00	41951.00	400.00	0	2192.86	2310.50	1024.80	0.02	0.47	569.00	920.07	569.00	1035.97	0.21	1.13	56.00	44.00	0.00	1741.50	1623.86	10486279.00	1.23	2427.65	2729.50	4782	25779	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3668.00	41948.00	400.00	0	594.72	562.00	335.09	0.02	0.56	588.00	828.73	588.00	919.16	0.15	1.11	0.00	0.00	0.00	-26.00	6.72	2842763.00	-0.25	623.53	642.00	4780	25782	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4223.00	41945.00	400.00	0	1294.18	1174.00	1651.19	0.04	1.28	599.00	741.97	599.00	995.43	0.09	1.34	6.00	0.00	0.02	575.00	695.18	6187489.00	0.55	1071.82	1100.50	4781	25785	100	COL6A1	""	Undefined
1	5	1	4778.00	41942.00	400.00	0	1585.51	1539.50	720.00	0.01	0.45	612.00	833.84	612.00	905.10	0.13	1.09	50.00	1.00	0.00	927.50	973.51	7581909.00	0.83	1302.77	1364.00	4782	25775	100	CT62	""	Undefined
1	6	1	5333.00	41939.00	400.00	0	1627.01	1569.00	715.47	0.02	0.44	665.00	885.80	665.00	671.20	0.12	0.76	77.00	15.00	0.00	904.00	962.01	7765736.00	1.10	1328.90	1432.00	4773	25784	100	DSCR8/MMA1	""	Undefined
1	7	1	5888.00	41936.00	400.00	0	1856.62	1775.00	668.91	0.02	0.36	661.00	858.92	661.00	646.24	0.11	0.75	97.00	35.00	0.00	1114.00	1195.62	8874633.00	1.54	1601.90	1650.00	4780	25787	100	MAGEA3	""	Undefined
1	8	1	6443.00	41933.00	400.00	0	1493.05	1404.00	689.17	0.03	0.46	672.00	818.67	672.00	441.09	0.09	0.54	80.00	37.00	0.00	732.00	821.05	7138281.00	1.53	1184.54	1159.00	4781	26713	100	SOX1	""	Undefined
1	1	2	2561.00	42504.00	400.00	0	1448.37	1385.00	355.26	0.02	0.25	681.00	887.25	681.00	921.38	0.11	1.04	25.00	1.00	0.00	704.00	767.37	6918880.00	0.61	1543.30	1473.00	4777	25608	100	MAGEA5	""	Undefined
1	2	2	3116.00	42501.00	400.00	0	1077.68	1006.00	653.37	0.03	0.61	576.00	914.01	576.00	1037.53	0.20	1.14	1.00	0.00	0.00	430.00	501.68	5153488.00	0.16	1014.96	996.50	4782	23338	100	MART-1	""	Undefined
