ATF	1.0
29	33
"Checksum_ImageFile=75a9da61e94f12ebcdd982dfa2e853b9"
"Checksum_ResultFile=f34bde1b239f3142fe5c229225033251"
"Type=GenePix Results 3"
"DateTime=2019/06/09 19:31:33"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH008_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH008_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2000, 56940"
"ImageSize=19620.0, 10860.0"
"JpegOrigin=2305, 57645"
"JpegBrightness=32"
"JpegContrast=39"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=27.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2637.00	57992.00	400.00	0	1269.68	1206.00	363.30	0.02	0.29	165.00	528.65	165.00	1448.99	0.51	2.74	12.00	0.00	0.00	1041.00	1104.68	6077978.00	0.51	1172.27	1236.00	4787	28209	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3192.00	57989.00	400.00	0	1728.33	1916.00	826.52	0.04	0.48	173.00	614.31	173.00	1766.86	0.55	2.88	49.00	0.00	0.00	1743.00	1555.33	8249331.00	0.63	1537.50	1524.00	4773	25778	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3747.00	57986.00	400.00	0	204.84	183.00	139.97	0.05	0.68	179.00	424.21	179.00	1583.97	0.37	3.73	0.00	0.00	0.00	4.00	25.84	978934.00	-0.14	219.23	191.00	4779	25786	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4302.00	57983.00	400.00	0	621.17	526.00	1800.87	0.07	2.90	170.00	360.74	170.00	1835.21	0.33	5.09	0.00	0.00	0.02	356.00	451.17	2970443.00	0.14	404.85	477.50	4782	25781	100	COL6A1	""	Undefined
1	5	1	4857.00	57980.00	400.00	0	712.39	632.50	1752.10	0.05	2.46	160.00	396.06	160.00	1665.65	0.39	4.21	0.00	0.00	0.04	472.50	552.39	3405232.00	0.19	433.53	553.50	4780	25772	100	CT62	""	Undefined
1	6	1	5412.00	57977.00	400.00	0	724.43	607.00	1940.32	0.08	2.68	164.00	349.28	164.00	1357.63	0.33	3.89	1.00	0.00	0.00	443.00	560.43	3467826.00	0.28	437.31	544.00	4787	25776	100	DSCR8/MMA1	""	Undefined
1	7	1	5967.00	57974.00	400.00	0	1217.67	986.00	3119.77	0.09	2.56	155.00	338.11	155.00	1555.60	0.34	4.60	1.00	1.00	0.13	831.00	1062.67	5813138.00	0.57	742.98	868.00	4774	25777	100	MAGEA3	""	Undefined
1	8	1	6522.00	57971.00	400.00	0	1234.38	845.00	3710.13	0.16	3.01	160.00	324.36	160.00	1699.68	0.31	5.24	7.00	1.00	0.21	685.00	1074.38	5900316.00	0.54	747.74	488.00	4780	26718	100	SOX1	""	Undefined
1	1	2	2640.00	58542.00	400.00	0	849.95	844.00	638.62	0.00	0.75	161.00	465.06	161.00	1923.85	0.46	4.14	0.00	0.00	0.00	683.00	688.95	4061076.00	0.20	635.99	795.00	4778	25777	100	MAGEA5	""	Undefined
1	2	2	3195.00	58539.00	400.00	0	759.87	591.00	2274.90	0.11	2.99	168.00	528.54	168.00	1724.18	0.50	3.26	1.00	0.00	0.04	423.00	591.87	3631421.00	0.13	478.69	507.00	4779	23377	100	MART-1	""	Undefined
