ATF	1.0
29	33
"Checksum_ImageFile=920a90591d51760e99ca41d31630e738"
"Checksum_ResultFile=58cbc182f6e825095484551a2fdbad0a"
"Type=GenePix Results 3"
"DateTime=2019/06/09 19:35:34"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH016_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH016_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2000, 56940"
"ImageSize=19620.0, 10860.0"
"JpegOrigin=2365, 57610"
"JpegBrightness=22"
"JpegContrast=34"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=27.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2694.00	57946.00	400.00	0	1544.01	1504.00	507.51	0.01	0.33	469.00	858.29	469.00	1081.00	0.26	1.26	47.00	0.00	0.00	1035.00	1075.01	7383473.00	0.63	1577.48	1818.00	4782	28206	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3249.00	57945.00	400.00	0	1993.67	2367.00	959.09	0.07	0.48	505.00	904.02	505.00	1459.54	0.25	1.61	60.00	1.00	0.00	1862.00	1488.67	9515772.00	0.75	2208.19	2583.00	4773	25788	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3804.00	57943.00	400.00	0	356.02	368.00	117.02	0.01	0.33	506.00	904.76	506.00	1270.55	0.25	1.40	0.00	0.00	0.00	-138.00	-149.98	1701073.00	-0.43	388.62	400.00	4778	25780	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4359.00	57942.00	400.00	0	4385.11	4351.00	909.20	0.00	0.21	507.00	1168.21	507.00	1552.87	0.36	1.33	99.00	85.00	0.00	3844.00	3878.11	20969536.00	2.07	3224.00	3456.00	4782	25776	100	COL6A1	""	Undefined
1	5	1	4914.00	57940.00	400.00	0	4637.42	4561.00	1281.54	0.01	0.28	544.00	1351.01	544.00	1736.51	0.40	1.29	99.00	76.00	0.00	4017.00	4093.42	22152888.00	1.89	3574.28	3962.50	4777	25789	100	CT62	""	Undefined
1	6	1	5469.00	57939.00	400.00	0	5157.30	4976.00	2227.57	0.02	0.43	571.00	1453.25	571.00	2074.56	0.41	1.43	98.00	62.00	0.02	4405.00	4586.30	24626088.00	1.79	4204.41	4565.00	4775	25796	100	DSCR8/MMA1	""	Undefined
1	7	1	6024.00	57938.00	400.00	0	5903.08	5675.00	2397.21	0.02	0.41	591.00	1382.25	591.00	2887.28	0.37	2.09	99.00	25.00	0.06	5084.00	5312.08	28222484.00	1.57	5960.09	5456.00	4781	25781	100	MAGEA3	""	Undefined
1	8	1	6579.00	57936.00	400.00	0	3723.50	3334.00	2830.42	0.05	0.76	594.00	1082.46	594.00	2494.29	0.26	2.30	61.00	9.00	0.08	2740.00	3129.50	17816936.00	1.06	2652.65	2547.00	4785	26711	100	SOX1	""	Undefined
1	1	2	2695.00	58496.00	400.00	0	2741.56	2631.00	2412.33	0.02	0.88	476.00	903.97	476.00	1290.06	0.28	1.43	96.00	13.00	0.06	2155.00	2265.56	13101899.00	1.42	1986.48	2368.50	4779	25767	100	MAGEA5	""	Undefined
1	2	2	3250.00	58495.00	400.00	0	2516.03	2365.00	2496.00	0.03	0.99	523.00	1008.61	523.00	1546.64	0.29	1.53	86.00	1.00	0.06	1842.00	1993.03	12019056.00	0.97	1884.70	2222.50	4777	23366	100	MART-1	""	Undefined
1	3	2	3805.00	58493.00	400.00	0	2618.23	2576.00	394.03	0.01	0.15	521.00	909.81	521.00	1271.97	0.24	1.40	98.00	11.00	0.00	2055.00	2097.23	12512530.00	1.34	2146.91	2417.50	4779	23358	100	NY-CO-45	""	Undefined
1	4	2	4360.00	58492.00	400.00	0	3427.47	3350.00	1574.50	0.01	0.46	515.00	1127.35	515.00	1310.01	0.34	1.16	99.00	63.00	0.04	2835.00	2912.47	16376464.00	1.76	2660.09	2915.50	4778	23340	100	THEG	""	Undefined
1	5	2	4915.00	58490.00	400.00	0	3548.29	3488.00	575.75	0.01	0.16	521.00	1184.65	521.00	1409.46	0.36	1.19	99.00	60.00	0.00	2967.00	3027.29	16943096.00	1.68	2891.49	3245.00	4775	23347	100	TYR	""	Undefined
1	6	2	5470.00	58489.00	400.00	0	3264.01	3207.50	487.23	0.01	0.15	542.00	1130.30	542.00	1546.78	0.32	1.37	100.00	22.00	0.00	2665.50	2722.01	15595433.00	1.38	3011.36	2952.00	4778	23361	100	ZNF165	""	Undefined
1	7	2	6025.00	58488.00	400.00	0	590.05	572.00	456.92	0.01	0.77	559.00	991.14	559.00	1467.18	0.25	1.48	0.00	0.00	0.00	13.00	31.05	2819858.00	-0.27	768.01	550.00	4779	23352	100	CDK7	""	Undefined
1	8	2	6580.00	58486.00	400.00	0	551.62	476.00	1818.98	0.06	3.30	609.00	880.45	609.00	1498.58	0.16	1.70	0.00	0.00	0.04	-133.00	-57.38	2634561.00	-0.22	481.03	484.00	4776	24268	100	Buffer	""	Undefined
1	1	3	2697.00	59046.00	400.00	0	968.89	990.00	379.22	0.01	0.39	472.00	788.24	472.00	1273.28	0.22	1.62	0.00	0.00	0.00	518.00	496.89	4633224.00	0.14	1086.64	1158.00	4782	25777	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	3252.00	59045.00	400.00	0	2063.67	2442.00	1064.95	0.07	0.52	494.00	804.11	494.00	824.21	0.21	1.03	64.00	58.00	0.00	1948.00	1569.67	9854022.00	1.53	2305.64	2582.00	4775	23343	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	3807.00	59043.00	400.00	0	416.33	399.00	292.39	0.02	0.70	510.00	841.68	510.00	922.69	0.22	1.10	0.00	0.00	0.00	-111.00	-93.67	1991321.00	-0.46	441.72	486.00	4783	23349	100	Cy5 BSA 15ng/ul	""	Undefined
