ATF	1.0
29	33
"Checksum_ImageFile=a0f7b6a6eb30619f136394f54d5d59b8"
"Checksum_ResultFile=c39bed9f2b482d1680c80b5ebbcea4ab"
"Type=GenePix Results 3"
"DateTime=2019/06/09 19:37:32"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH020_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH020_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2000, 56940"
"ImageSize=19620.0, 10860.0"
"JpegOrigin=2015, 57390"
"JpegBrightness=27"
"JpegContrast=31"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=27.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2375.00	57718.00	400.00	0	1202.68	1281.00	361.70	0.03	0.30	844.00	1373.31	844.00	1913.71	0.21	1.39	0.00	0.00	0.00	437.00	358.68	5740410.00	-0.09	1238.44	1495.00	4773	24255	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	2929.00	57722.00	400.00	0	2274.18	2707.50	974.19	0.08	0.43	786.00	1168.25	786.00	2049.73	0.17	1.75	38.00	0.00	0.00	1921.50	1488.18	10861494.00	0.54	1535.44	921.00	4776	25791	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3484.00	57726.00	400.00	0	516.52	512.00	192.77	0.00	0.37	773.00	1270.86	773.00	2078.34	0.22	1.64	0.00	0.00	0.00	-261.00	-256.48	2465873.00	-0.36	565.98	549.00	4774	25789	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4039.00	57731.00	400.00	0	3050.54	3122.00	2561.55	0.01	0.84	814.50	1632.70	814.50	2116.01	0.30	1.30	61.00	2.00	0.04	2307.50	2236.04	14548009.00	0.67	2089.24	2595.00	4769	25790	100	COL6A1	""	Undefined
1	5	1	4594.00	57735.00	400.00	0	3262.59	3416.00	1780.61	0.02	0.55	853.00	1676.73	853.00	2084.39	0.29	1.24	77.00	2.00	0.02	2563.00	2409.59	15585413.00	0.76	2308.56	2904.00	4777	25809	100	CT62	""	Undefined
1	6	1	5149.00	57739.00	400.00	0	3613.28	3675.00	2802.53	0.01	0.78	879.00	1680.08	879.00	2106.60	0.28	1.25	79.00	5.00	0.08	2796.00	2734.28	17249800.00	0.92	2762.21	3264.00	4774	25813	100	DSCR8/MMA1	""	Undefined
1	7	1	5704.00	57743.00	400.00	0	4000.08	3998.00	2601.17	0.00	0.65	864.00	1510.42	864.00	2130.32	0.24	1.41	89.00	6.00	0.10	3134.00	3136.08	19088352.00	1.17	3512.61	3665.00	4772	25778	100	MAGEA3	""	Undefined
1	8	1	6259.00	57747.00	400.00	0	3503.13	3144.00	2929.81	0.05	0.84	848.00	1238.39	848.00	1926.74	0.16	1.56	63.00	18.00	0.06	2296.00	2655.13	16720453.00	1.18	2390.12	2432.00	4773	26336	100	SOX1	""	Undefined
1	1	2	2370.00	58268.00	400.00	0	2431.50	2545.00	2170.51	0.02	0.89	977.50	1590.66	977.50	2210.61	0.21	1.39	9.00	1.00	0.04	1567.50	1454.00	11622561.00	0.38	1895.40	1825.00	4780	21680	100	MAGEA5	""	Undefined
1	2	2	2925.00	58272.00	400.00	0	2187.63	2206.00	2563.97	0.00	1.17	852.00	1404.52	852.00	2103.17	0.22	1.50	3.00	0.00	0.06	1354.00	1335.63	10450293.00	0.37	1524.76	1488.00	4777	23337	100	MART-1	""	Undefined
1	3	2	3480.00	58276.00	400.00	0	2636.05	2679.00	1754.55	0.01	0.67	802.00	1472.52	802.00	2154.62	0.26	1.46	29.00	2.00	0.02	1877.00	1834.05	12597676.00	0.54	1961.75	2166.00	4779	23339	100	NY-CO-45	""	Undefined
1	4	2	4035.00	58281.00	400.00	0	2867.99	3027.00	2199.56	0.02	0.77	815.00	1793.47	815.00	2635.91	0.34	1.47	23.00	0.00	0.04	2212.00	2052.99	13700403.00	0.41	2047.91	2378.50	4777	23347	100	THEG	""	Undefined
1	5	2	4590.00	58285.00	400.00	0	2954.06	2997.50	1872.65	0.01	0.63	832.00	1726.07	832.00	2280.43	0.32	1.32	43.00	1.00	0.02	2165.50	2122.06	14102684.00	0.54	2272.01	2533.50	4774	23366	100	TYR	""	Undefined
1	6	2	5145.00	58289.00	400.00	0	2953.13	2877.50	2073.94	0.01	0.70	884.00	1532.59	884.00	1853.41	0.24	1.21	61.00	3.00	0.00	1993.50	2069.13	14110042.00	0.77	2054.22	2431.50	4778	23362	100	ZNF165	""	Undefined
1	7	2	5700.00	58293.00	400.00	0	981.21	914.00	1521.24	0.03	1.55	878.00	1333.82	878.00	1761.80	0.18	1.32	0.00	0.00	0.02	36.00	103.21	4688217.00	-0.20	1071.16	895.00	4778	23355	100	CDK7	""	Undefined
1	8	2	6255.00	58297.00	400.00	0	723.87	715.00	154.49	0.01	0.21	944.00	1286.67	944.00	1315.13	0.13	1.02	0.00	0.00	0.00	-229.00	-220.13	3457950.00	-0.43	895.46	719.00	4777	23900	100	Buffer	""	Undefined
1	1	3	2366.00	58818.00	400.00	0	830.86	629.00	861.46	0.12	1.04	823.00	1299.20	823.00	1251.47	0.20	0.96	0.00	0.00	0.00	-194.00	7.86	3971498.00	-0.37	840.16	665.00	4780	21553	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	2921.00	58822.00	400.00	0	1793.34	2101.00	734.30	0.07	0.41	773.50	1044.27	773.50	867.52	0.13	0.83	67.00	11.00	0.00	1327.50	1019.84	8572166.00	0.86	1246.48	821.00	4780	23346	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	3476.00	58826.00	400.00	0	526.24	503.00	945.54	0.02	1.80	790.00	1273.82	790.00	1754.54	0.21	1.38	0.00	0.00	0.00	-287.00	-263.76	2516463.00	-0.43	542.89	500.00	4782	23351	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	3	4031.00	58831.00	400.00	0	2898.64	3031.00	1388.99	0.02	0.48	805.00	1670.86	805.00	2124.79	0.32	1.27	58.00	1.00	0.00	2226.00	2093.64	13861317.00	0.58	2067.30	2568.50	4782	23348	100	COL6A1	""	Undefined
1	5	3	4586.00	58835.00	400.00	0	3049.29	3066.00	1653.39	0.00	0.54	881.00	1717.35	881.00	1636.58	0.29	0.95	85.00	5.00	0.02	2185.00	2168.29	14560372.00	0.81	2288.36	2731.00	4775	23349	100	CT62	""	Undefined
1	6	3	5141.00	58839.00	400.00	0	3774.49	3774.50	2195.26	0.00	0.58	917.00	1763.30	917.00	1558.19	0.28	0.88	88.00	38.00	0.04	2857.50	2857.49	18026936.00	1.29	2923.44	3160.50	4776	23351	100	DSCR8/MMA1	""	Undefined
1	7	3	5696.00	58843.00	400.00	0	4312.43	4397.50	1819.68	0.01	0.42	936.00	1640.32	936.00	1647.04	0.24	1.00	90.00	58.00	0.02	3461.50	3376.43	20622008.00	1.62	3066.17	3701.00	4782	23347	100	MAGEA3	""	Undefined
1	8	3	6251.00	58847.00	400.00	0	3677.32	3446.00	1904.39	0.03	0.52	1055.00	1413.34	1055.00	1367.71	0.13	0.97	85.00	36.00	0.00	2391.00	2622.32	17592316.00	1.66	2733.65	2726.50	4784	23894	100	SOX1	""	Undefined
1	1	4	2362.00	59368.00	400.00	0	3025.84	2590.50	5718.28	0.07	1.89	943.00	1479.97	943.00	1973.11	0.20	1.33	22.00	2.00	0.42	1647.50	2082.84	14457446.00	0.78	1716.23	2030.00	4778	21403	100	MAGEA5	""	Undefined
1	2	4	2917.00	59372.00	400.00	0	2106.76	2165.00	2125.19	0.01	1.01	795.00	1264.45	795.00	1696.51	0.20	1.34	15.00	1.00	0.06	1370.00	1311.76	10085082.00	0.50	1535.05	1768.00	4787	23353	100	MART-1	""	Undefined
1	3	4	3472.00	59376.00	400.00	0	2209.49	2250.00	1384.44	0.01	0.63	739.00	1279.83	739.00	1301.58	0.24	1.02	72.00	3.00	0.00	1511.00	1470.49	10561356.00	0.71	1537.12	1846.00	4780	23353	100	NY-CO-45	""	Undefined
1	4	4	4027.00	59381.00	400.00	0	2697.56	2850.00	1235.95	0.02	0.46	784.00	1614.61	784.00	1462.67	0.31	0.91	82.00	5.00	0.00	2066.00	1913.56	12907828.00	0.74	1981.10	2377.50	4785	23342	100	THEG	""	Undefined
1	5	4	4582.00	59385.00	400.00	0	3167.01	3278.50	1150.79	0.02	0.36	886.00	1696.26	886.00	1396.00	0.28	0.82	86.00	27.00	0.00	2392.50	2281.01	15125641.00	1.05	2225.73	2786.00	4776	23337	100	TYR	""	Undefined
1	6	4	5137.00	59389.00	400.00	0	3063.71	3082.50	1599.69	0.00	0.52	933.00	1563.29	933.00	1401.59	0.22	0.90	87.00	16.00	0.02	2149.50	2130.71	14632262.00	1.07	2247.01	2728.00	4776	23343	100	ZNF165	""	Undefined
