ATF	1.0
29	33
"Checksum_ImageFile=c7953ee10e38954316cb26d104890eb8"
"Checksum_ResultFile=53126a644b618d3d5368a066dae81ebe"
"Type=GenePix Results 3"
"DateTime=2019/06/09 21:54:18"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH031_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH031_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2000, 41100"
"ImageSize=20370.0, 10230.0"
"JpegOrigin=2470, 41595"
"JpegBrightness=60"
"JpegContrast=26"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2799.00	41926.00	400.00	0	1039.49	712.00	1596.00	0.16	1.54	562.00	983.88	562.00	1065.77	0.24	1.08	22.00	0.00	0.04	150.00	477.49	4969782.00	0.05	1142.72	1057.00	4781	28220	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3354.00	41925.00	400.00	0	2840.24	3278.00	1299.83	0.06	0.46	535.00	852.35	535.00	1172.80	0.20	1.38	73.00	64.00	0.00	2743.00	2305.24	13564964.00	1.69	1918.30	867.50	4776	25793	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3909.00	41924.00	400.00	0	489.47	536.00	146.00	0.04	0.30	498.00	854.50	498.00	1294.55	0.23	1.51	0.00	0.00	0.00	38.00	-8.53	2336737.00	-0.28	461.22	427.00	4774	25795	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4464.00	41923.00	400.00	0	3543.95	3465.00	2004.75	0.01	0.57	418.00	1056.74	418.00	1543.17	0.40	1.46	95.00	47.00	0.02	3047.00	3125.95	16933000.00	1.61	3090.69	3055.00	4778	25783	100	COL6A1	""	Undefined
1	5	1	5019.00	41923.00	400.00	0	3635.83	3478.00	1975.63	0.02	0.54	402.00	1146.14	402.00	2042.77	0.46	1.78	97.00	6.00	0.04	3076.00	3233.83	17375632.00	1.22	2967.89	3213.00	4779	25784	100	CT62	""	Undefined
1	6	1	5574.00	41922.00	400.00	0	4030.62	3878.00	2400.24	0.02	0.60	394.00	1069.50	394.00	1896.30	0.43	1.77	97.00	35.00	0.08	3484.00	3636.62	19262316.00	1.56	2935.40	3327.00	4779	25778	100	DSCR8/MMA1	""	Undefined
1	7	1	6129.00	41921.00	400.00	0	4675.89	4567.00	1427.37	0.01	0.31	388.00	823.48	388.00	1338.91	0.33	1.63	99.00	99.00	0.02	4179.00	4287.89	22355344.00	2.88	3960.90	4397.50	4781	25785	100	MAGEA3	""	Undefined
1	8	1	6684.00	41920.00	400.00	0	3935.87	3161.00	3206.80	0.10	0.81	411.00	727.00	411.00	995.68	0.25	1.37	94.00	76.00	0.06	2750.00	3524.87	18793812.00	3.22	2075.76	2096.00	4775	26719	100	SOX1	""	Undefined
1	1	2	2800.00	42476.00	400.00	0	2820.61	2864.00	1714.14	0.01	0.61	525.00	1059.78	525.00	993.49	0.31	0.94	90.00	79.00	0.02	2339.00	2295.61	13454288.00	1.77	1847.30	2353.00	4770	25772	100	MAGEA5	""	Undefined
1	2	2	3355.00	42475.00	400.00	0	2227.72	2241.50	1316.62	0.00	0.59	524.00	1023.64	524.00	1263.99	0.29	1.23	89.00	3.00	0.02	1717.50	1703.72	10635145.00	0.95	1523.44	1908.00	4774	23382	100	MART-1	""	Undefined
1	3	2	3910.00	42474.00	400.00	0	2288.30	2225.00	1030.86	0.01	0.45	484.00	879.59	484.00	1130.65	0.26	1.29	94.00	13.00	0.00	1741.00	1804.30	10933501.00	1.25	1603.36	1921.00	4778	23379	100	NY-CO-45	""	Undefined
1	4	2	4465.00	42473.00	400.00	0	2706.65	2679.00	1570.48	0.00	0.58	418.00	1073.49	418.00	1440.89	0.41	1.34	93.00	11.00	0.02	2261.00	2288.65	12913422.00	1.13	1913.39	2299.00	4771	23355	100	THEG	""	Undefined
1	5	2	5020.00	42473.00	400.00	0	3319.00	3192.00	2002.26	0.02	0.60	409.00	1111.95	409.00	1615.70	0.43	1.45	96.00	26.00	0.04	2783.00	2910.00	15844920.00	1.37	2287.17	2764.00	4774	23350	100	TYR	""	Undefined
