ATF	1.0
29	33
"Checksum_ImageFile=7bcf6da4708fea4268f8627c45a9fca4"
"Checksum_ResultFile=cb16b8470afeed3f437d1b47d86cb094"
"Type=GenePix Results 3"
"DateTime=2019/06/09 22:32:27"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH03_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH03_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2030, 9450"
"ImageSize=19980.0, 10140.0"
"JpegOrigin=2475, 10140"
"JpegBrightness=49"
"JpegContrast=21"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=27.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2810.00	10469.00	400.00	0	561.51	614.00	234.73	0.04	0.42	328.00	737.40	328.00	2498.86	0.35	3.39	0.00	0.00	0.00	286.00	233.51	2680645.00	-0.07	510.54	491.50	4774	28241	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3365.00	10469.00	400.00	0	1267.92	1405.00	1972.26	0.04	1.56	394.00	760.83	394.00	2165.76	0.29	2.85	0.00	0.00	0.04	1011.00	873.92	6056834.00	0.23	736.32	406.00	4777	25818	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3920.00	10470.00	400.00	0	552.61	601.00	183.06	0.04	0.33	400.00	1007.27	400.00	2916.30	0.40	2.90	0.00	0.00	0.00	201.00	152.61	2640942.00	-0.16	451.33	381.00	4779	25811	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4475.00	10470.00	400.00	0	2883.24	2811.00	3189.40	0.01	1.11	324.00	1383.49	324.00	3387.96	0.63	2.45	20.00	1.00	0.10	2487.00	2559.24	13764577.00	0.44	1763.96	1843.50	4774	25794	100	COL6A1	""	Undefined
1	5	1	5030.00	10471.00	400.00	0	2576.22	2492.50	3136.47	0.01	1.22	334.00	1433.37	334.00	3475.71	0.63	2.42	3.00	1.00	0.10	2158.50	2242.22	12293718.00	0.33	1826.31	2215.00	4772	25784	100	CT62	""	Undefined
1	6	1	5585.00	10471.00	400.00	0	2770.53	2284.00	4849.21	0.08	1.75	414.00	1419.21	414.00	4044.84	0.54	2.85	2.00	1.00	0.33	1870.00	2356.53	13234834.00	0.33	2231.53	2140.00	4777	25778	100	DSCR8/MMA1	""	Undefined
1	7	1	6140.00	10472.00	400.00	0	2933.17	2792.00	2854.93	0.02	0.97	418.00	1187.14	418.00	3886.80	0.45	3.27	3.00	1.00	0.06	2374.00	2515.17	14005870.00	0.45	2125.46	2419.00	4775	25784	100	MAGEA3	""	Undefined
1	8	1	6695.00	10472.00	400.00	0	2009.58	1721.00	2969.02	0.07	1.48	445.00	953.83	445.00	2732.42	0.33	2.86	10.00	1.00	0.10	1276.00	1564.58	9599748.00	0.39	1485.58	1084.50	4777	26711	100	SOX1	""	Undefined
1	1	2	2809.00	11019.00	400.00	0	1522.31	1474.00	2619.36	0.01	1.72	379.00	933.06	379.00	3203.41	0.39	3.43	1.00	0.00	0.10	1095.00	1143.31	7269019.00	0.18	1008.31	1321.00	4775	25806	100	MAGEA5	""	Undefined
1	2	2	3364.00	11019.00	400.00	0	1503.42	1493.00	1947.96	0.00	1.30	411.00	953.23	411.00	2462.25	0.37	2.58	1.00	0.00	0.00	1082.00	1092.42	7175830.00	0.22	1097.68	1341.00	4773	23397	100	MART-1	""	Undefined
