ATF	1.0
29	33
"Checksum_ImageFile=5454d4d34a637061f0b5c30d87100dc7"
"Checksum_ResultFile=258484d3fbac4c00e4b4ca8ed6ed6259"
"Type=GenePix Results 3"
"DateTime=2019/06/09 22:34:07"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH054_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH054_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2060, 25770"
"ImageSize=20520.0, 9690.0"
"JpegOrigin=2400, 26140"
"JpegBrightness=58"
"JpegContrast=21"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=27.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2737.00	26465.00	400.00	0	492.34	524.00	478.73	0.03	0.97	142.00	433.15	142.00	1204.12	0.48	2.78	0.00	0.00	0.00	382.00	350.34	2353401.00	0.05	349.59	290.00	4780	28203	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3292.00	26466.00	400.00	0	867.29	862.00	1287.55	0.00	1.48	151.00	513.12	151.00	2118.87	0.53	4.13	0.00	0.00	0.02	711.00	716.29	4144784.00	0.17	676.20	284.00	4779	25775	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3847.00	26466.00	400.00	0	388.08	439.50	176.60	0.05	0.46	152.00	400.37	152.00	1249.83	0.42	3.12	0.00	0.00	0.00	287.50	236.08	1853472.00	-0.01	277.09	183.50	4776	25789	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4402.00	26467.00	400.00	0	1166.88	1177.00	780.75	0.00	0.67	159.00	539.76	159.00	1661.29	0.53	3.08	2.00	0.00	0.00	1018.00	1007.88	5591675.00	0.38	838.06	942.50	4792	25794	100	COL6A1	""	Undefined
1	5	1	4957.00	26468.00	400.00	0	1306.99	1245.50	2141.31	0.02	1.64	153.00	557.84	153.00	1687.71	0.56	3.03	3.00	0.00	0.04	1092.50	1153.99	6242195.00	0.44	834.12	1016.00	4776	25792	100	CT62	""	Undefined
1	6	1	5512.00	26468.00	400.00	0	1263.92	1264.00	1043.39	0.00	0.83	141.00	512.68	141.00	1665.57	0.56	3.25	6.00	0.00	0.00	1123.00	1122.92	6042815.00	0.45	897.10	1077.00	4781	25780	100	DSCR8/MMA1	""	Undefined
1	7	1	6067.00	26469.00	400.00	0	1555.61	1402.00	2543.37	0.05	1.63	142.00	416.31	142.00	1627.02	0.47	3.91	18.00	0.00	0.08	1260.00	1413.61	7435832.00	0.70	1073.50	1168.50	4780	25764	100	MAGEA3	""	Undefined
1	8	1	6622.00	26470.00	400.00	0	1230.20	891.00	3483.76	0.14	2.83	168.00	407.61	168.00	1230.56	0.38	3.02	19.00	2.00	0.23	723.00	1062.20	5877872.00	0.67	657.86	570.00	4778	26695	100	SOX1	""	Undefined
1	1	2	2736.00	27015.00	400.00	0	858.26	778.00	2647.01	0.04	3.08	154.00	402.28	154.00	1304.35	0.42	3.24	1.00	1.00	0.04	624.00	704.26	4101611.00	0.35	494.51	528.00	4779	25771	100	MAGEA5	""	Undefined
1	2	2	3291.00	27016.00	400.00	0	744.45	695.00	1283.33	0.03	1.72	161.00	447.22	161.00	1412.23	0.44	3.16	1.00	0.00	0.00	534.00	583.45	3559944.00	0.21	454.14	599.50	4782	23350	100	MART-1	""	Undefined
1	3	2	3846.00	27016.00	400.00	0	826.22	777.00	1660.56	0.03	2.01	167.00	411.72	167.00	1315.51	0.39	3.20	1.00	0.00	0.02	610.00	659.22	3948496.00	0.32	528.71	660.00	4779	23350	100	NY-CO-45	""	Undefined
1	4	2	4401.00	27017.00	400.00	0	832.89	865.00	1163.16	0.02	1.40	169.00	508.03	169.00	1353.58	0.48	2.66	1.00	0.00	0.00	696.00	663.89	3977862.00	0.24	1095.04	675.00	4776	23347	100	THEG	""	Undefined
1	5	2	4956.00	27018.00	400.00	0	921.75	930.00	827.31	0.00	0.90	157.00	521.35	157.00	1579.51	0.52	3.03	1.00	0.00	0.00	773.00	764.75	4405950.00	0.25	777.69	758.00	4780	23351	100	TYR	""	Undefined
1	6	2	5511.00	27018.00	400.00	0	951.47	948.00	973.11	0.00	1.02	140.00	421.64	140.00	1456.28	0.48	3.45	1.00	0.00	0.00	808.00	811.47	4549929.00	0.36	749.88	813.00	4782	23345	100	ZNF165	""	Undefined
1	7	2	6066.00	27019.00	400.00	0	150.94	143.00	217.23	0.02	1.44	141.00	315.85	141.00	998.57	0.35	3.16	0.00	0.00	0.00	2.00	9.94	721486.00	-0.17	134.88	131.00	4780	23336	100	CDK7	""	Undefined
1	8	2	6621.00	27020.00	400.00	0	159.70	153.00	212.49	0.02	1.33	167.00	390.24	167.00	1379.34	0.37	3.53	0.00	0.00	0.00	-14.00	-7.30	762718.00	-0.17	146.23	145.00	4776	24267	100	Buffer	""	Undefined
1	1	3	2736.00	27565.00	400.00	0	486.19	388.00	1828.60	0.10	3.76	154.00	362.99	154.00	1214.10	0.37	3.34	0.00	0.00	0.06	234.00	332.19	2322049.00	0.10	308.37	175.00	4776	25787	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	3291.00	27566.00	400.00	0	1153.65	1276.00	1703.21	0.04	1.48	159.00	353.55	159.00	1193.51	0.35	3.38	43.00	0.00	0.00	1117.00	994.65	5508691.00	0.67	639.97	355.00	4775	23351	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	3846.00	27566.00	400.00	0	443.23	481.00	1098.82	0.04	2.48	168.00	397.09	168.00	1314.00	0.37	3.31	0.00	0.00	0.00	313.00	275.23	2119538.00	0.04	283.16	187.00	4782	23342	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	3	4401.00	27567.00	400.00	0	1173.08	1179.00	939.25	0.00	0.80	173.00	527.45	173.00	1576.58	0.48	2.99	3.00	0.00	0.00	1006.00	1000.08	5606142.00	0.41	768.05	950.00	4779	23342	100	COL6A1	""	Undefined
1	5	3	4956.00	27568.00	400.00	0	1283.16	1257.00	1264.22	0.01	0.99	158.00	553.31	158.00	1774.04	0.54	3.21	2.00	0.00	0.00	1099.00	1125.16	6138621.00	0.41	887.70	1073.50	4784	23347	100	CT62	""	Undefined
1	6	3	5511.00	27568.00	400.00	0	1364.29	1273.00	2090.02	0.03	1.53	145.00	499.11	145.00	1556.15	0.54	3.12	10.00	0.00	0.04	1128.00	1219.29	6515836.00	0.56	934.96	1026.00	4776	23350	100	DSCR8/MMA1	""	Undefined
1	7	3	6066.00	27569.00	400.00	0	1484.24	1384.00	1052.99	0.03	0.71	141.00	378.16	141.00	1072.23	0.43	2.84	74.00	2.00	0.00	1243.00	1343.24	7090231.00	1.03	1133.65	1240.00	4777	23354	100	MAGEA3	""	Undefined
1	8	3	6621.00	27570.00	400.00	0	866.66	774.00	1697.66	0.05	1.96	164.00	403.79	164.00	1063.76	0.39	2.63	6.00	0.00	0.04	610.00	702.66	4135711.00	0.44	601.08	640.50	4772	24292	100	SOX1	""	Undefined
1	1	4	2735.00	28115.00	400.00	0	779.17	712.00	1998.75	0.04	2.57	148.00	382.98	148.00	1161.88	0.41	3.03	1.00	0.00	0.04	564.00	631.17	3722101.00	0.34	551.80	630.00	4777	25802	100	MAGEA5	""	Undefined
1	2	4	3290.00	28116.00	400.00	0	671.63	685.00	567.59	0.01	0.85	160.00	394.79	160.00	1167.60	0.39	2.96	0.00	0.00	0.00	525.00	511.63	3207041.00	0.24	473.54	574.50	4775	23354	100	MART-1	""	Undefined
1	3	4	3845.00	28116.00	400.00	0	789.13	789.00	897.35	0.00	1.14	169.00	380.10	169.00	1091.11	0.35	2.87	1.00	0.00	0.00	620.00	620.13	3771258.00	0.37	518.55	659.00	4779	23338	100	NY-CO-45	""	Undefined
1	4	4	4400.00	28117.00	400.00	0	874.51	873.00	874.59	0.00	1.00	169.00	469.53	169.00	1357.10	0.44	2.89	1.00	0.00	0.00	704.00	705.51	4178385.00	0.30	743.21	720.00	4778	23340	100	THEG	""	Undefined
1	5	4	4955.00	28118.00	400.00	0	914.17	913.00	339.98	0.00	0.37	155.00	488.33	155.00	1589.39	0.50	3.25	0.00	0.00	0.00	758.00	759.17	4368824.00	0.27	657.75	824.50	4779	23342	100	TYR	""	Undefined
1	6	4	5510.00	28118.00	400.00	0	944.02	939.00	440.40	0.00	0.47	153.00	385.40	153.00	1289.60	0.40	3.35	3.00	0.00	0.00	786.00	791.02	4507705.00	0.43	664.36	781.00	4775	23353	100	ZNF165	""	Undefined
1	7	4	6065.00	28119.00	400.00	0	155.17	149.00	199.62	0.02	1.29	151.00	288.59	151.00	708.75	0.28	2.46	0.00	0.00	0.00	-2.00	4.17	741250.00	-0.19	142.16	141.00	4777	23383	100	CDK7	""	Undefined
1	8	4	6620.00	28120.00	400.00	0	189.98	173.00	900.76	0.04	4.74	164.00	344.27	164.00	819.45	0.32	2.38	0.00	0.00	0.00	9.00	25.98	907526.00	-0.19	159.96	155.00	4777	24311	100	Buffer	""	Undefined
1	1	5	2734.00	28665.00	400.00	0	356.64	260.50	1093.74	0.14	3.07	139.00	353.36	139.00	862.21	0.41	2.44	0.00	0.00	0.02	121.50	217.64	1704045.00	0.00	446.30	473.00	4778	25804	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	5	3289.00	28666.00	400.00	0	1245.83	1232.00	2944.48	0.00	2.36	154.00	324.61	154.00	731.81	0.32	2.25	68.00	13.00	0.10	1078.00	1091.83	5945083.00	1.26	609.03	315.00	4772	23351	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	5	3844.00	28666.00	400.00	0	415.87	476.00	478.73	0.06	1.15	169.00	373.10	169.00	832.93	0.34	2.23	0.00	0.00	0.00	307.00	246.87	1987010.00	0.05	295.11	199.00	4778	23343	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	5	4399.00	28667.00	400.00	0	1261.41	1196.00	1758.86	0.02	1.39	168.00	489.51	168.00	1349.69	0.46	2.76	19.00	0.00	0.04	1028.00	1093.41	6029551.00	0.57	941.31	966.00	4780	23345	100	COL6A1	""	Undefined
1	5	5	4954.00	28668.00	400.00	0	1285.67	1271.00	549.66	0.00	0.43	150.00	504.79	150.00	1633.32	0.53	3.24	6.00	0.00	0.00	1121.00	1135.67	6141657.00	0.48	942.25	1122.00	4777	23338	100	CT62	""	Undefined
1	6	5	5509.00	28668.00	400.00	0	1317.47	1274.00	841.28	0.01	0.64	167.00	494.97	167.00	1340.50	0.47	2.71	30.00	0.00	0.00	1107.00	1150.47	6286987.00	0.61	909.76	1070.00	4772	23351	100	DSCR8/MMA1	""	Undefined
1	7	5	6064.00	28669.00	400.00	0	1460.74	1381.00	959.96	0.02	0.66	175.00	433.04	175.00	760.36	0.39	1.76	97.00	22.00	0.00	1206.00	1285.74	6973591.00	1.35	1201.31	1253.00	4774	23380	100	MAGEA3	""	Undefined
1	8	5	6619.00	28670.00	400.00	0	1036.18	785.00	3166.36	0.12	3.06	185.00	397.81	185.00	641.95	0.33	1.61	42.00	4.00	0.13	600.00	851.18	4949837.00	0.99	677.15	682.00	4777	24313	100	SOX1	""	Undefined
1	1	6	2734.00	29215.00	400.00	0	758.91	794.00	904.63	0.02	1.19	130.00	393.46	130.00	839.75	0.48	2.13	15.00	0.00	0.00	664.00	628.91	3623040.00	0.44	553.46	714.00	4774	25791	100	MAGEA5	""	Undefined
1	2	6	3289.00	29216.00	400.00	0	748.51	700.00	1534.24	0.03	2.05	138.00	374.45	138.00	1127.15	0.43	3.01	0.00	0.00	0.02	562.00	610.51	3575621.00	0.33	492.96	628.00	4777	23350	100	MART-1	""	Undefined
1	3	6	3844.00	29216.00	400.00	0	820.42	797.00	539.94	0.01	0.66	166.00	437.21	166.00	1297.10	0.42	2.97	0.00	0.00	0.00	631.00	654.42	3922442.00	0.30	565.50	687.00	4781	23341	100	NY-CO-45	""	Undefined
1	4	6	4399.00	29217.00	400.00	0	930.71	883.00	1193.60	0.02	1.28	162.00	491.70	162.00	1978.47	0.48	4.02	0.00	0.00	0.00	721.00	768.71	4448795.00	0.22	611.24	772.50	4780	23337	100	THEG	""	Undefined
1	5	6	4954.00	29218.00	400.00	0	1013.14	976.00	968.16	0.02	0.96	153.00	506.67	153.00	2185.31	0.52	4.31	0.00	0.00	0.00	823.00	860.14	4843817.00	0.23	747.45	860.00	4781	23340	100	TYR	""	Undefined
1	6	6	5509.00	29218.00	400.00	0	996.99	975.00	572.83	0.01	0.57	158.00	461.69	158.00	1265.27	0.47	2.74	3.00	0.00	0.00	817.00	838.99	4763627.00	0.42	786.45	850.00	4778	23352	100	ZNF165	""	Undefined
1	7	6	6064.00	29219.00	400.00	0	1594.91	1301.00	3579.36	0.09	2.24	178.00	341.18	178.00	688.69	0.28	2.02	98.00	23.00	0.25	1123.00	1416.91	7615712.00	1.82	1077.37	1036.00	4775	23360	100	BAGE4	""	Undefined
1	8	6	6619.00	29220.00	400.00	0	199.21	194.00	95.11	0.01	0.48	197.00	323.34	197.00	825.52	0.22	2.55	0.00	0.00	0.00	-3.00	2.21	950250.00	-0.15	210.54	194.00	4770	24297	100	Buffer	""	Undefined
1	1	7	2733.00	29765.00	400.00	0	847.70	900.00	1050.12	0.03	1.24	126.00	431.57	126.00	2054.71	0.53	4.76	0.00	0.00	0.02	774.00	721.70	4051985.00	0.20	1079.27	779.50	4780	25772	100	p53 M133T	""	Undefined
1	2	7	3288.00	29766.00	400.00	0	122.73	118.00	213.00	0.02	1.74	126.00	377.06	126.00	1847.59	0.48	4.90	0.00	0.00	0.00	-8.00	-3.27	587014.00	-0.14	114.75	115.00	4783	23343	100	CDK7	""	Undefined
1	3	7	3843.00	29766.00	400.00	0	826.72	868.00	622.47	0.02	0.75	154.00	487.67	154.00	1503.72	0.50	3.08	0.00	0.00	0.00	714.00	672.72	3951730.00	0.23	565.33	738.50	4780	23349	100	p53 M133T	""	Undefined
1	4	7	4398.00	29767.00	400.00	0	1158.10	1118.00	1162.24	0.02	1.00	159.00	518.62	159.00	2092.52	0.51	4.03	0.00	0.00	0.02	959.00	999.10	5532255.00	0.31	917.97	908.00	4777	23347	100	BAGE4	""	Undefined
1	5	7	4953.00	29768.00	400.00	0	868.25	874.00	563.43	0.00	0.65	160.00	504.60	160.00	2054.80	0.50	4.07	0.00	0.00	0.00	714.00	708.25	4151985.00	0.18	788.85	724.00	4782	23347	100	p53 M133T	""	Undefined
1	6	7	5508.00	29768.00	400.00	0	1228.57	1183.00	1179.28	0.02	0.96	169.00	375.77	169.00	1238.46	0.35	3.30	23.00	0.00	0.02	1014.00	1059.57	5877469.00	0.69	891.32	1025.00	4784	23351	100	BAGE4	""	Undefined
1	7	7	6063.00	29769.00	400.00	-75	204.08	181.00	344.27	0.05	1.69	185.00	230.00	185.00	584.21	0.09	2.54	0.00	0.00	0.00	-4.00	19.08	975511.00	-0.04	199.60	180.00	4780	23344	100	empty	""	Undefined
1	8	7	6618.00	29770.00	400.00	-75	203.21	199.00	150.10	0.01	0.74	199.00	305.50	199.00	900.98	0.19	2.95	0.00	0.00	0.00	0.00	4.21	970935.00	-0.11	201.16	200.00	4778	24267	100	empty	""	Undefined
1	1	8	2732.00	30315.00	400.00	0	755.79	778.00	1138.77	0.01	1.51	138.00	427.27	138.00	1914.57	0.49	4.48	0.00	0.00	0.00	640.00	617.79	3611143.00	0.17	496.59	655.00	4778	27259	100	ACVR2A	""	Undefined
1	2	8	3287.00	30316.00	400.00	0	695.93	680.00	1378.70	0.01	1.98	137.00	361.65	137.00	1366.86	0.42	3.78	1.00	0.00	0.02	543.00	558.93	3327244.00	0.24	461.44	570.00	4781	24833	100	PIM1	""	Undefined
1	3	8	3842.00	30316.00	400.00	0	788.48	779.00	1315.53	0.01	1.67	149.00	363.77	149.00	1092.44	0.39	3.00	1.00	0.00	0.02	630.00	639.48	3764973.00	0.39	700.08	647.00	4775	24849	100	ACVR2A	""	Undefined
1	4	8	4397.00	30317.00	400.00	0	732.59	694.00	1197.18	0.02	1.63	160.00	431.70	160.00	1350.96	0.43	3.13	0.00	0.00	0.02	534.00	572.59	3508393.00	0.22	519.70	588.00	4789	24842	100	PIM1	""	Undefined
1	5	8	4952.00	30318.00	400.00	0	859.85	814.50	1294.84	0.02	1.51	164.00	412.34	164.00	1218.11	0.40	2.95	1.00	0.00	0.02	650.50	695.85	4108358.00	0.37	581.04	685.50	4778	24838	100	ACVR2A	""	Undefined
1	6	8	5507.00	30318.00	400.00	0	766.91	688.00	1446.33	0.05	1.89	183.00	343.74	183.00	1023.37	0.27	2.98	1.00	0.00	0.02	505.00	583.91	3667366.00	0.41	553.82	638.00	4782	24834	100	PIM1	""	Undefined
1	7	8	6062.00	30319.00	400.00	-75	209.22	189.00	778.67	0.04	3.72	190.00	255.72	190.00	708.73	0.13	2.77	0.00	0.00	0.00	-1.00	19.22	999867.00	-0.07	196.01	192.50	4779	24827	100	empty	""	Undefined
1	8	8	6617.00	30320.00	400.00	-75	183.74	184.00	22.18	0.00	0.12	198.00	268.90	198.00	594.13	0.13	2.21	0.00	0.00	0.00	-14.00	-14.26	877739.00	-0.14	196.56	192.00	4777	25748	100	empty	""	Undefined
2	1	1	7237.00	26471.00	400.00	0	453.13	293.00	314.23	0.19	0.69	176.00	491.33	176.00	1383.11	0.45	2.82	0.00	0.00	0.00	117.00	277.13	2165980.00	-0.03	410.06	262.50	4780	26702	100	Cy5 BSA 5ng/ul	""	Undefined
