ATF	1.0
29	33
"Checksum_ImageFile=c34b46e6e2de5e4e2e3986b04e0f7130"
"Checksum_ResultFile=0119ccf99ffe86c4194860420f7ca8fc"
"Type=GenePix Results 3"
"DateTime=2019/06/09 22:40:57"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH058_190609_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\090619_PDAC v CP\NIH058_190609_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2060, 25770"
"ImageSize=20520.0, 9690.0"
"JpegOrigin=2570, 26095"
"JpegBrightness=58"
"JpegContrast=21"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=27.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2899.00	26433.00	400.00	0	329.46	313.00	694.07	0.02	2.11	305.00	676.34	305.00	2123.17	0.35	3.14	0.00	0.00	0.00	8.00	24.46	1574835.00	-0.16	321.62	302.00	4780	28220	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3454.00	26432.00	400.00	0	893.37	1058.00	785.74	0.07	0.88	317.00	702.12	317.00	1526.62	0.35	2.17	0.00	0.00	0.00	741.00	576.37	4269403.00	0.13	561.07	331.00	4779	25778	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	4009.00	26431.00	400.00	0	548.13	573.00	363.07	0.02	0.66	314.00	1028.29	314.00	2136.30	0.52	2.08	0.00	0.00	0.00	259.00	234.13	2618414.00	-0.22	567.65	350.00	4777	25785	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4564.00	26429.00	400.00	0	2193.46	2367.00	2789.11	0.03	1.27	317.00	1369.05	317.00	2797.63	0.64	2.04	20.00	1.00	0.06	2050.00	1876.46	10462806.00	0.29	1994.78	2200.00	4770	25798	100	COL6A1	""	Undefined
1	5	1	5119.00	26428.00	400.00	0	2296.14	2243.50	3409.30	0.01	1.48	317.00	1419.31	317.00	2848.49	0.65	2.01	14.00	2.00	0.13	1926.50	1979.14	10984740.00	0.31	1679.85	2024.00	4784	25775	100	CT62	""	Undefined
1	6	1	5674.00	26427.00	400.00	0	2356.58	2446.50	3054.54	0.02	1.30	297.00	1352.08	297.00	2629.98	0.66	1.95	30.00	1.00	0.08	2149.50	2059.58	11273879.00	0.38	1827.81	2215.00	4784	25772	100	DSCR8/MMA1	""	Undefined
1	7	1	6228.00	26425.00	400.00	0	2647.92	2869.00	3093.11	0.03	1.17	291.00	1043.30	291.00	2264.75	0.55	2.17	63.00	2.00	0.10	2578.00	2356.92	12654409.00	0.71	1780.13	2046.00	4779	25779	100	MAGEA3	""	Undefined
1	8	1	6783.00	26424.00	400.00	0	1862.27	1763.00	2859.76	0.02	1.54	327.00	871.28	327.00	1669.10	0.43	1.92	39.00	4.00	0.08	1436.00	1535.27	8896065.00	0.59	1338.64	1421.50	4777	26723	100	SOX1	""	Undefined
1	1	2	2900.00	26983.00	400.00	0	1760.75	1863.00	3141.27	0.02	1.78	338.00	1094.64	338.00	3156.27	0.51	2.88	2.00	0.00	0.15	1525.00	1422.75	8405817.00	0.21	1730.68	1834.00	4774	25776	100	MAGEA5	""	Undefined
1	2	2	3455.00	26982.00	400.00	0	1579.82	1708.00	2339.45	0.03	1.48	372.00	1055.84	372.00	2131.71	0.45	2.02	10.00	1.00	0.04	1336.00	1207.82	7546819.00	0.25	1540.15	1616.00	4777	23347	100	MART-1	""	Undefined
1	3	2	4010.00	26981.00	400.00	0	1607.34	1805.00	1213.98	0.05	0.76	356.00	1202.91	356.00	2003.69	0.53	1.67	23.00	1.00	0.00	1449.00	1251.34	7675036.00	0.20	1673.27	1719.00	4775	23351	100	NY-CO-45	""	Undefined
1	4	2	4565.00	26979.00	400.00	0	1828.17	2037.00	1967.72	0.05	1.08	374.00	1400.85	374.00	2218.60	0.57	1.58	23.00	0.00	0.00	1663.00	1454.17	8736841.00	0.19	1612.47	1919.00	4779	23372	100	THEG	""	Undefined
1	5	2	5120.00	26978.00	400.00	0	1617.12	1837.00	1190.93	0.06	0.74	373.50	1366.11	373.50	2006.29	0.56	1.47	22.00	0.00	0.00	1463.50	1243.62	7721750.00	0.13	1302.22	1533.00	4775	23354	100	TYR	""	Undefined
1	6	2	5675.00	26977.00	400.00	0	1682.87	1842.00	1511.75	0.04	0.90	297.00	1154.69	297.00	2244.60	0.59	1.94	16.00	1.00	0.00	1545.00	1385.87	8035693.00	0.24	1157.66	298.00	4775	23352	100	ZNF165	""	Undefined
1	7	2	6230.00	26975.00	400.00	0	283.59	265.00	326.98	0.03	1.15	288.00	813.31	288.00	1858.18	0.45	2.28	0.00	0.00	0.00	-23.00	-4.41	1353565.00	-0.29	310.52	282.00	4773	23358	100	CDK7	""	Undefined
1	8	2	6785.00	26974.00	400.00	0	319.13	301.00	348.73	0.03	1.09	336.00	999.57	336.00	1698.38	0.47	1.70	0.00	0.00	0.00	-35.00	-16.87	1523846.00	-0.40	336.10	304.50	4775	24303	100	Buffer	""	Undefined
1	1	3	2901.00	27533.00	400.00	0	225.89	210.00	177.76	0.03	0.79	318.00	788.78	318.00	2513.79	0.39	3.19	0.00	0.00	0.00	-108.00	-92.11	1080224.00	-0.22	257.12	254.00	4782	25781	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	3456.00	27532.00	400.00	0	800.31	964.00	442.99	0.08	0.55	301.00	764.11	301.00	2215.99	0.40	2.90	0.00	0.00	0.00	663.00	499.31	3823858.00	0.02	552.34	353.00	4778	23345	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	4011.00	27531.00	400.00	0	536.27	569.00	279.79	0.03	0.52	301.00	1014.10	301.00	1852.98	0.53	1.83	0.00	0.00	0.00	268.00	235.27	2563904.00	-0.26	554.83	309.50	4781	23351	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	3	4566.00	27529.00	400.00	0	2084.01	2368.00	2126.15	0.06	1.02	344.00	1410.78	344.00	1978.16	0.61	1.40	52.00	1.00	0.04	2024.00	1740.01	9957376.00	0.34	1695.47	2059.00	4778	23349	100	COL6A1	""	Undefined
1	5	3	5121.00	27528.00	400.00	0	2322.72	2483.00	3245.01	0.03	1.40	370.00	1451.86	370.00	2001.35	0.59	1.38	55.00	2.00	0.17	2113.00	1952.72	11100284.00	0.44	2302.93	2369.00	4779	23351	100	CT62	""	Undefined
1	6	3	5676.00	27527.00	400.00	0	2531.78	2472.00	3466.42	0.01	1.37	316.00	1385.99	316.00	2514.52	0.64	1.81	36.00	3.00	0.13	2156.00	2215.78	12101888.00	0.46	1837.25	2116.00	4780	23352	100	DSCR8/MMA1	""	Undefined
