ATF	1.0
29	33
"Checksum_ImageFile=f3ba9f38fc610f8a50e8582111841cb7"
"Checksum_ResultFile=f9d2e6f0b96ffb18949e77b74df133d9"
"Type=GenePix Results 3"
"DateTime=2019/06/10 13:55:54"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\100619_PDAC v CP\NIH063__190610_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\100619_PDAC v CP\NIH063__190610_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2630, 35550"
"ImageSize=19740.0, 12300.0"
"JpegOrigin=3170, 37320"
"JpegBrightness=41"
"JpegContrast=28"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.3"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	3502.00	37653.00	400.00	0	2874.66	2989.00	744.97	0.02	0.26	41.00	190.53	41.00	565.94	0.67	2.97	100.00	100.00	0.00	2948.00	2833.66	13732235.00	4.74	2470.23	2562.00	4777	28222	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	4057.00	37652.00	400.00	0	4100.52	3944.00	1774.14	0.02	0.43	70.00	703.18	70.00	1648.40	1.00	2.34	97.00	53.00	0.00	3874.00	4030.52	19637418.00	2.06	4254.36	4653.00	4789	25788	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	4612.00	37651.00	400.00	0	462.74	327.00	231.76	0.15	0.50	70.00	580.96	70.00	1518.32	0.92	2.61	0.00	0.00	0.00	257.00	392.74	2210971.00	-0.08	527.96	549.00	4778	25790	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	5167.00	37651.00	400.00	0	60.50	60.00	14.04	0.00	0.23	40.00	108.56	40.00	238.54	0.43	2.20	0.00	0.00	0.00	20.00	20.50	289373.00	-0.20	56.34	55.00	4783	25779	100	COL6A1	""	Undefined
1	5	1	5722.00	37650.00	400.00	0	60.98	58.00	34.42	0.02	0.56	35.00	40.49	35.00	138.43	0.06	3.42	0.00	0.00	0.00	23.00	25.98	291376.00	0.15	52.31	47.00	4778	25769	100	CT62	""	Undefined
1	6	1	6277.00	37649.00	400.00	0	55.93	52.00	74.00	0.03	1.32	43.00	53.47	43.00	144.98	0.09	2.71	0.00	0.00	0.00	9.00	12.93	267145.00	0.02	49.76	41.00	4776	25765	100	DSCR8/MMA1	""	Undefined
1	7	1	6832.00	37649.00	400.00	0	73.84	65.00	81.11	0.06	1.10	51.00	59.43	51.00	70.07	0.07	1.18	5.00	2.00	0.00	14.00	22.84	353014.00	0.21	82.47	63.00	4781	25773	100	MAGEA3	""	Undefined
1	8	1	7387.00	37648.00	400.00	0	66.95	55.00	63.99	0.09	0.96	41.00	52.76	41.00	147.59	0.11	2.80	1.00	0.00	0.00	14.00	25.95	320028.00	0.10	63.41	60.00	4780	26719	100	SOX1	""	Undefined
1	1	2	3503.00	38203.00	400.00	0	80.78	61.00	461.01	0.12	5.71	56.00	150.70	56.00	423.17	0.43	2.81	0.00	0.00	0.00	5.00	24.78	386276.00	-0.17	126.75	61.00	4782	25777	100	MAGEA5	""	Undefined
1	2	2	4058.00	38202.00	400.00	0	76.47	69.00	67.52	0.04	0.88	73.00	526.48	73.00	1476.61	0.86	2.80	0.00	0.00	0.00	-4.00	3.47	365352.00	-0.30	93.53	77.00	4778	23349	100	MART-1	""	Undefined
1	3	2	4613.00	38201.00	400.00	0	72.70	69.00	40.38	0.02	0.56	73.00	278.62	73.00	889.97	0.58	3.19	0.00	0.00	0.00	-4.00	-0.30	347876.00	-0.23	84.57	71.00	4785	23349	100	NY-CO-45	""	Undefined
1	4	2	5168.00	38201.00	400.00	0	96.56	75.00	160.24	0.11	1.66	53.00	98.30	53.00	332.07	0.27	3.38	0.00	0.00	0.00	22.00	43.56	461951.00	-0.01	92.85	77.00	4784	23351	100	THEG	""	Undefined
1	5	2	5723.00	38200.00	400.00	0	77.73	54.00	104.85	0.16	1.35	49.00	86.63	49.00	342.78	0.25	3.96	2.00	0.00	0.00	5.00	28.73	371465.00	-0.03	207.99	58.00	4779	23341	100	TYR	""	Undefined
1	6	2	6278.00	38199.00	400.00	0	100.34	78.00	174.00	0.11	1.73	61.00	88.67	61.00	222.41	0.16	2.51	1.00	0.00	0.00	17.00	39.34	479437.00	0.05	94.19	70.00	4778	23337	100	ZNF165	""	Undefined
1	7	2	6833.00	38199.00	400.00	0	84.92	47.00	257.29	0.26	3.03	58.00	80.86	58.00	130.81	0.14	1.62	7.00	1.00	0.00	-11.00	26.92	405992.00	0.03	74.64	51.00	4781	23347	100	CDK7	""	Undefined
1	8	2	7388.00	38198.00	400.00	0	78.29	28.00	216.62	0.45	2.77	45.00	148.43	45.00	1036.17	0.52	6.98	0.00	0.00	0.00	-17.00	33.29	374365.00	-0.07	187.83	29.00	4782	24276	100	Buffer	""	Undefined
1	1	3	3503.00	38753.00	400.00	0	3204.25	3281.50	781.66	0.01	0.24	115.00	327.28	115.00	703.34	0.45	2.15	99.00	99.00	0.00	3166.50	3089.25	15322723.00	4.09	2108.23	2300.00	4782	25769	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	4058.00	38752.00	400.00	0	4368.75	4444.00	1809.28	0.01	0.41	121.00	873.65	121.00	1784.82	0.86	2.04	96.00	55.00	0.00	4323.00	4247.75	20895660.00	1.96	4405.40	4934.50	4783	23342	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	4613.00	38751.00	400.00	0	501.38	394.00	233.83	0.10	0.47	114.00	700.65	114.00	1621.98	0.79	2.31	0.00	0.00	0.00	280.00	387.38	2399114.00	-0.12	560.51	600.00	4785	23339	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	3	5168.00	38751.00	400.00	0	404.18	402.00	164.08	0.00	0.41	92.00	223.22	92.00	913.78	0.38	4.09	0.00	0.00	0.00	310.00	312.18	1931186.00	0.20	306.27	363.00	4778	23347	100	COL6A1	""	Undefined
1	5	3	5723.00	38750.00	400.00	0	498.59	498.00	116.51	0.00	0.23	85.00	202.00	85.00	923.32	0.38	4.57	0.00	0.00	0.00	413.00	413.59	2381742.00	0.32	361.10	436.50	4777	23351	100	CT62	""	Undefined
1	6	3	6278.00	38749.00	400.00	0	495.99	491.00	639.57	0.00	1.29	83.00	172.59	83.00	262.80	0.32	1.52	91.00	11.00	0.00	408.00	412.99	2366355.00	1.23	325.60	400.00	4771	23362	100	DSCR8/MMA1	""	Undefined
1	7	3	6833.00	38749.00	400.00	0	702.37	693.00	225.91	0.01	0.32	81.00	179.54	81.00	251.82	0.35	1.40	93.00	82.00	0.00	612.00	621.37	3356623.00	2.08	472.71	589.00	4779	23355	100	MAGEA3	""	Undefined
