ATF	1.0
29	33
"Checksum_ImageFile=2ba24d64ee2871f138355fc9f310a265"
"Checksum_ResultFile=a4c1bbd6d01a65c20deb655fd4d0cda5"
"Type=GenePix Results 3"
"DateTime=2019/06/10 14:20:20"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\100619_PDAC v CP\NIH076__190610_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\100619_PDAC v CP\NIH076__190610_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2720, 51960"
"ImageSize=19920.0, 11220.0"
"JpegOrigin=3370, 53400"
"JpegBrightness=27"
"JpegContrast=39"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	3702.00	53739.00	400.00	0	899.88	793.00	638.49	0.05	0.71	369.00	959.27	369.00	1569.93	0.41	1.64	9.00	0.00	0.00	424.00	530.88	4299619.00	-0.04	1153.73	558.00	4778	28212	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	4257.00	53737.00	400.00	0	3213.56	3887.00	1901.53	0.08	0.59	342.00	737.68	342.00	1362.09	0.33	1.85	69.00	67.00	0.00	3545.00	2871.56	15376887.00	1.82	1830.55	979.50	4785	25784	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	4812.00	53736.00	400.00	0	572.67	629.00	205.23	0.04	0.36	317.00	515.98	317.00	755.33	0.21	1.46	0.00	0.00	0.00	312.00	255.67	2737922.00	0.08	417.96	317.00	4781	25781	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	5367.00	53734.00	400.00	0	1145.44	1103.00	1762.74	0.02	1.54	315.00	730.78	315.00	1036.84	0.37	1.42	29.00	2.00	0.04	788.00	830.44	5469497.00	0.40	787.05	785.50	4775	25770	100	COL6A1	""	Undefined
1	5	1	5922.00	53733.00	400.00	0	1271.04	1209.50	1094.48	0.02	0.86	406.00	805.54	406.00	1212.73	0.30	1.51	19.00	2.00	0.00	803.50	865.04	6078093.00	0.38	1023.84	873.00	4782	25790	100	CT62	""	Undefined
1	6	1	6477.00	53731.00	400.00	0	1218.74	1198.00	1110.97	0.01	0.91	328.00	673.81	328.00	1008.51	0.31	1.50	36.00	2.00	0.00	870.00	890.74	5829238.00	0.54	888.63	997.00	4783	25789	100	DSCR8/MMA1	""	Undefined
1	7	1	7032.00	53730.00	400.00	0	1300.57	1357.00	1135.79	0.02	0.87	293.00	538.04	293.00	696.45	0.26	1.29	78.00	24.00	0.00	1064.00	1007.57	6207606.00	1.09	879.18	315.50	4773	25772	100	MAGEA3	""	Undefined
1	8	1	7587.00	53728.00	400.00	0	1080.87	980.00	1374.20	0.04	1.27	298.00	631.57	298.00	923.52	0.33	1.46	31.00	7.00	0.02	682.00	782.87	5169813.00	0.49	730.04	391.50	4783	26712	100	SOX1	""	Undefined
1	1	2	3703.00	54289.00	400.00	0	853.13	952.00	529.88	0.05	0.62	395.00	920.36	395.00	1328.95	0.37	1.44	0.00	0.00	0.00	557.00	458.13	4075422.00	-0.05	756.38	755.50	4777	25789	100	MAGEA5	""	Undefined
1	2	2	4258.00	54287.00	400.00	0	730.27	785.00	358.97	0.03	0.49	397.00	838.41	397.00	1429.36	0.32	1.70	0.00	0.00	0.00	388.00	333.27	3493625.00	-0.08	617.17	490.00	4784	23341	100	MART-1	""	Undefined
1	3	2	4813.00	54286.00	400.00	0	756.95	816.00	442.16	0.03	0.58	371.00	594.42	371.00	890.65	0.20	1.50	0.00	0.00	0.00	445.00	385.95	3617445.00	0.18	596.89	416.50	4779	23343	100	NY-CO-45	""	Undefined
1	4	2	5368.00	54284.00	400.00	0	994.55	1003.00	776.06	0.00	0.78	351.00	683.79	351.00	872.54	0.29	1.28	28.00	2.00	0.00	652.00	643.55	4747005.00	0.36	837.35	737.50	4773	23364	100	THEG	""	Undefined
1	5	2	5923.00	54283.00	400.00	0	1158.27	1226.50	571.36	0.02	0.49	365.00	689.56	365.00	767.77	0.28	1.11	60.00	2.00	0.00	861.50	793.27	5538861.00	0.61	925.86	984.50	4782	23341	100	TYR	""	Undefined
1	6	2	6478.00	54281.00	400.00	0	1050.07	1073.00	675.46	0.01	0.64	315.00	583.74	315.00	668.62	0.27	1.15	62.00	5.00	0.00	758.00	735.07	5021432.00	0.70	771.87	673.00	4782	23349	100	ZNF165	""	Undefined
1	7	2	7033.00	54280.00	400.00	0	414.81	309.00	417.63	0.13	1.01	299.00	461.42	299.00	978.60	0.19	2.12	4.00	0.00	0.00	10.00	115.81	1979066.00	-0.05	339.98	304.00	4771	23361	100	CDK7	""	Undefined
1	8	2	7588.00	54278.00	400.00	0	274.77	273.00	104.91	0.00	0.38	309.00	507.43	309.00	919.16	0.22	1.81	0.00	0.00	0.00	-36.00	-34.23	1313665.00	-0.25	290.69	289.00	4781	24275	100	Buffer	""	Undefined
1	1	3	3705.00	54839.00	400.00	0	971.65	889.00	709.60	0.04	0.73	377.00	1111.48	377.00	1403.47	0.47	1.26	14.00	0.00	0.00	512.00	594.65	4636693.00	-0.10	1365.93	849.00	4772	25792	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	4260.00	54837.00	400.00	0	3817.19	4597.50	2379.71	0.08	0.62	359.00	797.13	359.00	1334.39	0.35	1.67	72.00	70.00	0.02	4238.50	3458.19	18230916.00	2.26	2028.20	1045.00	4776	23353	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	4815.00	54836.00	400.00	0	667.98	710.50	401.73	0.03	0.60	355.00	577.36	355.00	797.50	0.21	1.38	1.00	0.00	0.00	355.50	312.98	3187604.00	0.11	528.23	341.50	4772	23349	100	Cy5 BSA 15ng/ul	""	Undefined
