ATF	1.0
29	33
"Checksum_ImageFile=b003353e2d9af1c45d8f643af242d085"
"Checksum_ResultFile=6f7b833b17373daab40f7fc586392e52"
"Type=GenePix Results 3"
"DateTime=2019/06/10 14:22:14"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\100619_PDAC v CP\NIH077__190610_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\100619_PDAC v CP\NIH077__190610_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2600, 4560"
"ImageSize=20250.0, 12690.0"
"JpegOrigin=3195, 5870"
"JpegBrightness=27"
"JpegContrast=39"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=26.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	3524.00	6202.00	400.00	0	1778.95	1972.00	713.18	0.04	0.40	485.00	639.68	485.00	1188.10	0.12	1.86	64.00	3.00	0.00	1487.00	1293.95	8503381.00	0.96	2061.18	2103.00	4780	28209	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	4079.00	6201.00	400.00	0	2206.56	1188.00	1446.69	0.27	0.66	502.00	965.07	502.00	1221.09	0.28	1.27	45.00	37.00	0.00	686.00	1704.56	10545127.00	1.02	2718.18	3358.50	4779	25787	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	4634.00	6200.00	400.00	0	804.34	535.00	432.21	0.18	0.54	562.00	1023.84	562.00	1191.20	0.26	1.16	0.00	0.00	0.00	-27.00	242.34	3840730.00	-0.18	958.71	1027.00	4775	25794	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	5189.00	6199.00	400.00	0	2627.80	2499.00	1697.36	0.02	0.65	593.00	910.15	593.00	1045.85	0.19	1.15	91.00	38.00	0.00	1906.00	2034.80	12547765.00	1.64	1880.51	2094.50	4775	25789	100	COL6A1	""	Undefined
1	5	1	5744.00	6198.00	400.00	0	2915.03	2848.00	1145.78	0.01	0.39	592.00	976.89	592.00	1134.35	0.22	1.16	95.00	49.00	0.00	2256.00	2323.03	13933841.00	1.71	2040.99	2296.00	4780	25771	100	CT62	""	Undefined
1	6	1	6299.00	6197.00	400.00	0	2839.42	2885.00	1003.31	0.01	0.35	587.00	1010.97	587.00	1095.49	0.24	1.08	91.00	56.00	0.00	2298.00	2252.42	13575277.00	1.67	2061.32	2454.50	4781	25768	100	DSCR8/MMA1	""	Undefined
1	7	1	6854.00	6196.00	400.00	0	3194.63	3229.00	961.32	0.00	0.30	593.00	1004.54	593.00	1094.66	0.23	1.09	94.00	74.00	0.00	2636.00	2601.63	15273503.00	2.00	2458.51	3022.00	4781	25785	100	MAGEA3	""	Undefined
1	8	1	7409.00	6195.00	400.00	0	2244.33	2203.00	806.48	0.01	0.36	597.00	977.07	597.00	1056.89	0.21	1.08	89.00	20.00	0.00	1606.00	1647.33	10714450.00	1.20	1851.81	1735.00	4774	26716	100	SOX1	""	Undefined
1	1	2	3525.00	6752.00	400.00	0	1818.16	1765.00	475.97	0.01	0.26	492.00	685.07	492.00	547.40	0.14	0.80	100.00	78.00	0.00	1273.00	1326.16	8683552.00	2.07	1717.51	1711.00	4776	25768	100	MAGEA5	""	Undefined
1	2	2	4080.00	6751.00	400.00	0	1766.91	1681.00	979.41	0.02	0.55	541.00	1035.70	541.00	1175.65	0.28	1.14	45.00	0.00	0.00	1140.00	1225.91	8431717.00	0.62	1553.87	1546.00	4772	23349	100	MART-1	""	Undefined
1	3	2	4635.00	6750.00	400.00	0	2000.70	1952.00	492.21	0.01	0.25	581.00	973.03	581.00	976.27	0.22	1.00	93.00	4.00	0.00	1371.00	1419.70	9559329.00	1.05	1813.30	1882.00	4778	23379	100	NY-CO-45	""	Undefined
1	4	2	5190.00	6749.00	400.00	0	2703.53	2653.00	885.64	0.01	0.33	606.00	1063.69	606.00	1011.13	0.24	0.95	97.00	52.00	0.00	2047.00	2097.53	12903965.00	1.62	2200.74	2474.00	4773	23372	100	THEG	""	Undefined
1	5	2	5745.00	6748.00	400.00	0	2808.02	2792.00	862.91	0.00	0.31	619.00	1173.86	619.00	1120.56	0.28	0.95	97.00	45.00	0.00	2173.00	2189.02	13413928.00	1.46	2309.54	2568.00	4777	23338	100	TYR	""	Undefined
1	6	2	6300.00	6747.00	400.00	0	3004.68	2740.00	3042.64	0.04	1.01	626.00	1230.25	626.00	1195.61	0.29	0.97	96.00	35.00	0.08	2114.00	2378.68	14353365.00	1.48	2271.85	2445.50	4777	23345	100	ZNF165	""	Undefined
1	7	2	6855.00	6746.00	400.00	0	654.77	631.00	250.71	0.02	0.38	626.00	1069.99	626.00	1073.30	0.23	1.00	0.00	0.00	0.00	5.00	28.77	3126520.00	-0.39	667.46	643.00	4775	23344	100	CDK7	""	Undefined
1	8	2	7410.00	6745.00	400.00	0	575.65	567.00	141.27	0.01	0.25	624.00	902.51	624.00	872.62	0.16	0.97	0.00	0.00	0.00	-57.00	-48.35	2747572.00	-0.37	584.73	553.00	4773	24303	100	Buffer	""	Undefined
1	1	3	3526.00	7302.00	400.00	0	1891.91	2020.00	687.88	0.03	0.36	508.00	728.28	508.00	645.87	0.16	0.89	73.00	64.00	0.00	1512.00	1383.91	9050876.00	1.80	1472.97	1382.50	4784	25769	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	4081.00	7301.00	400.00	0	2235.45	1278.00	1430.46	0.24	0.64	541.00	1062.19	541.00	1238.46	0.29	1.17	48.00	38.00	0.00	737.00	1694.45	10683205.00	0.95	2578.30	3159.50	4779	23348	100	Cy5 BSA 10ng/ul	""	Undefined
