ATF	1.0
29	33
"Checksum_ImageFile=62dfb6029d75914275f7d762d6140dcb"
"Checksum_ResultFile=c3a9b1ba1eae2db308fee779beaca4b1"
"Type=GenePix Results 3"
"DateTime=2019/06/25 15:25:01"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\Re-scans\Rescans of 110619 and slides 11-12 090619\NRC101_110619_PDAC V CP_RESCAN.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\110619_PDAC v CP\NRC101_110619_PDAC V CP_RESCAN.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2060, 8850"
"ImageSize=20610.0, 12390.0"
"JpegOrigin=2385, 9585"
"JpegBrightness=50"
"JpegContrast=17"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=25.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2713.00	9921.00	400.00	0	238.71	199.00	217.93	0.08	0.91	115.00	266.00	115.00	1058.99	0.36	3.98	0.00	0.00	0.00	84.00	123.71	1141765.00	-0.03	361.44	322.00	4783	28205	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3268.00	9920.00	400.00	0	488.99	457.00	197.04	0.03	0.40	170.00	324.09	170.00	372.72	0.28	1.15	28.00	4.00	0.00	287.00	318.99	2336897.00	0.44	638.18	588.50	4779	25777	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3823.00	9919.00	400.00	0	441.33	486.00	158.50	0.04	0.36	69.00	246.70	69.00	305.92	0.55	1.24	66.00	3.00	0.00	417.00	372.33	2106927.00	0.64	443.00	490.00	4774	25797	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4378.00	9918.00	400.00	0	288.14	248.00	757.11	0.07	2.63	51.00	128.94	51.00	187.74	0.40	1.46	57.00	1.00	0.00	197.00	237.14	1377611.00	0.85	209.85	232.00	4781	25789	100	COL6A1	""	Undefined
1	5	1	4933.00	9917.00	400.00	0	277.26	271.00	134.50	0.01	0.49	44.00	90.01	44.00	212.41	0.31	2.36	59.00	1.00	0.00	227.00	233.26	1326117.00	0.88	223.79	255.50	4783	25776	100	CT62	""	Undefined
1	6	1	5488.00	9916.00	400.00	0	312.43	300.00	217.44	0.02	0.70	46.00	95.98	46.00	321.67	0.32	3.35	9.00	1.00	0.00	254.00	266.43	1493121.00	0.67	252.42	299.00	4779	25775	100	DSCR8/MMA1	""	Undefined
1	7	1	6043.00	9915.00	400.00	0	367.95	336.00	389.01	0.04	1.06	42.00	92.58	42.00	277.87	0.34	3.00	59.00	2.00	0.00	294.00	325.95	1755475.00	0.99	243.82	305.00	4771	25789	100	MAGEA3	""	Undefined
1	8	1	6598.00	9914.00	400.00	0	241.85	215.00	430.92	0.05	1.78	42.00	109.11	42.00	180.97	0.41	1.66	44.00	1.00	0.00	173.00	199.85	1155788.00	0.73	153.23	194.00	4779	26717	100	SOX1	""	Undefined
1	1	2	2714.00	10471.00	400.00	0	347.86	319.50	368.34	0.04	1.06	109.00	245.30	109.00	839.87	0.35	3.42	0.00	0.00	0.00	210.50	238.86	1661373.00	0.12	355.67	326.00	4776	25775	100	MAGEA5	""	Undefined
1	2	2	3269.00	10470.00	400.00	0	227.86	204.00	299.85	0.05	1.32	184.00	307.12	184.00	393.23	0.22	1.28	1.00	0.00	0.00	20.00	43.86	1087781.00	-0.20	285.78	213.00	4774	23369	100	MART-1	""	Undefined
