ATF	1.0
29	33
"Checksum_ImageFile=bcca5a5246a0918cd90ed95b96a5e9c3"
"Checksum_ResultFile=43692326a7787ae0677951227e87353f"
"Type=GenePix Results 3"
"DateTime=2019/06/25 15:26:54"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\Re-scans\Rescans of 110619 and slides 11-12 090619\NRC102_110619_PDAC V CP_RESCAN.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\110619_PDAC v CP\NRC102_110619_PDAC V CP_RESCAN.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2120, 24990"
"ImageSize=20640.0, 10980.0"
"JpegOrigin=2470, 25565"
"JpegBrightness=50"
"JpegContrast=17"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=25.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	2800.00	25896.00	400.00	0	917.02	881.00	1675.81	0.02	1.83	88.00	367.71	88.00	558.91	0.62	1.52	83.00	3.00	0.04	793.00	829.02	4384284.00	0.98	729.50	798.00	4781	28215	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3355.00	25896.00	400.00	0	751.10	631.00	626.08	0.08	0.83	286.00	582.62	286.00	662.72	0.31	1.14	11.00	3.00	0.00	345.00	465.10	3587996.00	0.25	959.26	768.50	4777	25787	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	3910.00	25895.00	400.00	0	686.65	580.00	328.73	0.07	0.48	178.00	421.81	178.00	468.92	0.37	1.11	30.00	11.00	0.00	402.00	508.65	3280116.00	0.56	813.37	612.00	4777	25785	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4465.00	25895.00	400.00	0	586.81	500.00	1146.57	0.07	1.95	106.00	277.63	106.00	634.78	0.42	2.29	4.00	0.00	0.02	394.00	480.81	2801416.00	0.49	541.58	508.50	4774	25792	100	COL6A1	""	Undefined
1	5	1	5020.00	25894.00	400.00	0	612.34	581.00	783.65	0.02	1.28	100.00	250.34	100.00	1299.74	0.40	5.19	0.00	0.00	0.00	481.00	512.34	2923306.00	0.28	614.24	506.00	4774	25801	100	CT62	""	Undefined
1	6	1	5575.00	25894.00	400.00	0	694.83	624.00	549.37	0.05	0.79	101.00	226.48	101.00	1161.35	0.35	5.13	1.00	0.00	0.00	523.00	593.83	3319215.00	0.40	775.22	596.00	4777	25790	100	DSCR8/MMA1	""	Undefined
1	7	1	6130.00	25893.00	400.00	0	799.80	756.00	969.30	0.02	1.21	101.00	180.15	101.00	361.79	0.25	2.01	99.00	28.00	0.00	655.00	698.80	3820642.00	1.71	697.68	688.50	4777	25782	100	MAGEA3	""	Undefined
1	8	1	6685.00	25893.00	400.00	0	692.78	600.00	918.20	0.06	1.33	106.00	163.93	106.00	574.85	0.19	3.51	38.00	2.00	0.00	494.00	586.78	3311469.00	0.92	666.63	592.50	4780	26709	100	SOX1	""	Undefined
1	1	2	2801.00	26446.00	400.00	0	486.21	412.00	1534.65	0.07	3.16	178.00	368.32	178.00	470.20	0.32	1.28	1.00	0.00	0.02	234.00	308.21	2325041.00	0.25	379.73	410.00	4782	25780	100	MAGEA5	""	Undefined
1	2	2	3356.00	26446.00	400.00	0	522.63	415.00	400.40	0.10	0.77	388.00	597.75	388.00	711.69	0.19	1.19	6.00	0.00	0.00	27.00	134.63	2496587.00	-0.11	771.56	477.00	4777	23350	100	MART-1	""	Undefined
