ATF	1.0
29	33
"Checksum_ImageFile=5eb47bc4c34d7e6e37359fdabc3a2a8a"
"Checksum_ResultFile=640f8c49405e6786d183884dfc6ea57e"
"Type=GenePix Results 3"
"DateTime=2019/06/13 18:53:06"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\130619_PDAC v CP\NIH186_190613_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\130619_PDAC v CP\NIH186_190613_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2060, 8850"
"ImageSize=20610.0, 12390.0"
"JpegOrigin=2780, 9735"
"JpegBrightness=27"
"JpegContrast=42"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=25.2"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	3111.00	10084.00	400.00	0	4074.45	4045.00	463.48	0.00	0.11	126.00	397.72	126.00	1009.02	0.50	2.54	100.00	100.00	0.00	3919.00	3948.45	19463624.00	3.64	3679.44	3639.00	4777	28217	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3666.00	10081.00	400.00	0	7876.68	7844.00	820.58	0.00	0.10	93.00	424.89	93.00	1192.19	0.66	2.81	100.00	100.00	0.00	7751.00	7783.68	37658184.00	6.25	7391.73	7270.50	4781	25787	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	4221.00	10078.00	400.00	0	2891.88	2877.00	455.12	0.00	0.16	106.00	339.20	106.00	891.50	0.51	2.63	100.00	99.00	0.00	2771.00	2785.88	13826084.00	2.86	2533.26	2558.00	4781	25793	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4776.00	10075.00	400.00	0	1073.12	997.00	657.28	0.03	0.61	132.00	245.55	132.00	494.41	0.27	2.01	99.00	30.00	0.00	865.00	941.12	5129494.00	1.67	908.65	947.00	4780	25781	100	COL6A1	""	Undefined
1	5	1	5331.00	10072.00	400.00	0	1151.01	1091.00	325.46	0.02	0.28	109.00	175.23	109.00	357.89	0.21	2.04	99.00	97.00	0.00	982.00	1042.01	5504118.00	2.73	892.51	950.00	4782	25772	100	CT62	""	Undefined
1	6	1	5886.00	10070.00	400.00	0	1164.92	1109.00	438.62	0.02	0.38	100.00	150.68	100.00	244.38	0.18	1.62	98.00	97.00	0.00	1009.00	1064.92	5560146.00	4.15	736.37	849.00	4773	25780	100	DSCR8/MMA1	""	Undefined
1	7	1	6441.00	10067.00	400.00	0	1243.13	1251.00	650.14	0.00	0.52	121.00	157.99	121.00	205.53	0.12	1.30	93.00	92.00	0.00	1130.00	1122.13	5947133.00	5.28	704.67	876.00	4784	25779	100	MAGEA3	""	Undefined
1	8	1	6996.00	10064.00	400.00	0	571.96	576.00	255.39	0.00	0.45	142.00	409.55	142.00	1008.32	0.46	2.46	2.00	0.00	0.00	434.00	429.96	2732262.00	0.16	321.11	234.00	4777	26725	100	SOX1	""	Undefined
1	1	2	3114.00	10634.00	400.00	0	807.40	783.00	590.22	0.01	0.73	123.00	225.98	123.00	695.15	0.26	3.08	23.00	0.00	0.00	660.00	684.40	3856165.00	0.84	606.42	656.50	4776	25785	100	MAGEA5	""	Undefined
1	2	2	3669.00	10631.00	400.00	0	571.52	577.00	133.06	0.00	0.23	94.00	257.31	94.00	851.18	0.44	3.31	0.00	0.00	0.00	483.00	477.52	2732456.00	0.37	493.08	489.00	4781	23345	100	MART-1	""	Undefined
