ATF	1.0
29	33
"Checksum_ImageFile=e92aa0e1aa6b073d6c523bfaaf6d188e"
"Checksum_ResultFile=320132293d26f8ed9029099807e2677a"
"Type=GenePix Results 3"
"DateTime=2019/06/13 18:54:52"
"Settings="
"GalFile=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\140619_ModifiedCT100.txt"
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\130619_PDAC v CP\NIH187_190613_PDAC V CP.tif 0"
"GrinddingParameters=Find mode = Grid + Spots | Fixed Diameter = Dth | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=C:\Users\user\Desktop\Users\Tobz\PDAC v CP\130619_PDAC v CP\NIH187_190613_PDAC V CP.jpg"
"FeatureType=Circular"
"Barcode=BARCODE_READ_ERROR"
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=2120, 24990"
"ImageSize=20640.0, 10980.0"
"JpegOrigin=2785, 25780"
"JpegBrightness=23"
"JpegContrast=42"
"JpegBalance=50"
"Creator=Mapix 8.2.7"
"Scanner=is710IVDal 70LH6_IVD 717015"
"Temperature=25.3"
"Comment="
"Velocity=35 l/s"
"LaserPower=5.0"
"PMTGain=15"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"F635 Mean"	"F635 Median"	"F635 SD"	"F635 |log Mean/Median|"	"F635 CV"	"B635"	"B635 Mean"	"B635 Median"	"B635 SD"	"B635 |log Mean/Median|"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"ExcludedMean 635"	"ExcludedMedian 635"	"F Pixels"	"B Pixels"	"Circularity"	"ID"	"AutoFlag"	"Normalisation"
1	1	1	3119.00	26128.00	400.00	0	3771.61	3790.00	2373.36	0.00	0.63	204.00	503.13	204.00	1074.69	0.39	2.14	94.00	92.00	0.04	3586.00	3567.61	18039620.00	3.04	2613.10	3198.00	4783	28208	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	1	3674.00	26125.00	400.00	0	7477.29	7822.50	2113.89	0.02	0.28	199.00	904.16	199.00	1916.14	0.66	2.12	94.00	92.00	0.00	7623.50	7278.29	35621584.00	3.43	4870.15	6259.00	4764	25793	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	1	4228.00	26122.00	400.00	0	2853.89	2905.00	1876.50	0.01	0.66	261.00	919.51	261.00	1785.05	0.55	1.94	86.00	5.00	0.04	2644.00	2592.89	13647321.00	1.08	1783.73	2038.00	4782	25776	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	1	4783.00	26119.00	400.00	0	1881.31	1458.00	1693.73	0.11	0.90	496.00	1001.20	496.00	1481.91	0.31	1.48	27.00	10.00	0.00	962.00	1385.31	8988887.00	0.59	1514.84	1184.00	4778	25781	100	COL6A1	""	Undefined
1	5	1	5338.00	26116.00	400.00	0	1969.33	1304.00	2098.49	0.18	1.07	358.00	931.75	358.00	1410.80	0.42	1.51	28.00	18.00	0.00	946.00	1611.33	9407502.00	0.74	1657.71	1117.00	4777	25786	100	CT62	""	Undefined
1	6	1	5893.00	26113.00	400.00	0	1454.84	1549.00	1424.31	0.03	0.98	187.00	502.01	187.00	1269.26	0.43	2.53	59.00	1.00	0.02	1362.00	1267.84	6957060.00	0.75	874.52	377.00	4782	25781	100	DSCR8/MMA1	""	Undefined
1	7	1	6448.00	26110.00	400.00	0	1615.24	1686.00	923.53	0.02	0.57	172.00	375.80	172.00	651.97	0.34	1.73	77.00	61.00	0.00	1514.00	1443.24	7704689.00	1.90	970.56	463.50	4770	25794	100	MAGEA3	""	Undefined
1	8	1	7003.00	26107.00	400.00	0	513.38	569.00	511.73	0.04	1.00	158.00	466.79	158.00	968.67	0.47	2.08	0.00	0.00	0.00	411.00	355.38	2455488.00	0.05	341.97	187.00	4783	26709	100	SOX1	""	Undefined
1	1	2	3122.00	26678.00	400.00	0	1457.67	1530.00	567.50	0.02	0.39	190.00	389.53	190.00	724.71	0.31	1.86	86.00	37.00	0.00	1340.00	1267.67	6969141.00	1.47	923.86	542.00	4781	25779	100	MAGEA5	""	Undefined
1	2	2	3677.00	26675.00	400.00	0	711.64	709.00	424.28	0.00	0.60	181.00	641.05	181.00	1544.96	0.55	2.41	0.00	0.00	0.00	528.00	530.64	3395944.00	0.05	469.79	565.00	4772	23354	100	MART-1	""	Undefined
1	3	2	4232.00	26672.00	400.00	0	733.51	756.00	430.35	0.01	0.59	173.00	496.74	173.00	999.06	0.46	2.01	1.00	0.00	0.00	583.00	560.51	3506186.00	0.24	506.74	606.50	4780	23346	100	NY-CO-45	""	Undefined
1	4	2	4786.00	26669.00	400.00	0	2154.95	1518.00	1920.80	0.15	0.89	184.00	469.28	184.00	844.92	0.41	1.80	65.00	40.00	0.00	1334.00	1970.95	10302827.00	2.00	1166.93	873.00	4781	23353	100	THEG	""	Undefined
1	5	2	5341.00	26666.00	400.00	0	1158.82	1153.00	1343.06	0.00	1.16	176.00	410.80	176.00	604.22	0.37	1.47	86.00	22.00	0.02	977.00	982.82	5541485.00	1.24	812.89	842.00	4782	23343	100	TYR	""	Undefined
1	6	2	5896.00	26663.00	400.00	0	1169.22	1174.00	1083.22	0.00	0.93	175.00	387.06	175.00	504.09	0.34	1.30	84.00	48.00	0.02	999.00	994.22	5590039.00	1.55	857.55	928.00	4781	23347	100	ZNF165	""	Undefined
1	7	2	6451.00	26660.00	400.00	0	165.73	148.00	123.24	0.05	0.74	162.00	378.88	162.00	2011.05	0.37	5.31	0.00	0.00	0.00	-14.00	3.73	791214.00	-0.11	152.50	139.00	4774	23358	100	CDK7	""	Undefined
1	8	2	7006.00	26657.00	400.00	0	228.15	143.00	1784.44	0.20	7.82	153.00	392.54	153.00	2069.42	0.41	5.27	0.00	0.00	0.02	-10.00	75.15	1091232.00	-0.08	137.90	136.00	4783	24274	100	Buffer	""	Undefined
1	1	3	3125.00	27228.00	400.00	0	3969.73	3959.00	1043.85	0.00	0.26	186.00	440.26	186.00	1011.52	0.37	2.30	99.00	98.00	0.00	3773.00	3783.73	18943524.00	3.49	2676.13	3289.00	4772	25786	100	Cy5 BSA 5ng/ul	""	Undefined
1	2	3	3680.00	27225.00	400.00	0	7773.17	7907.00	1459.07	0.01	0.19	173.00	796.84	173.00	1798.53	0.66	2.26	98.00	96.00	0.00	7734.00	7600.17	37085612.00	3.88	5404.93	7193.00	4771	23383	100	Cy5 BSA 10ng/ul	""	Undefined
1	3	3	4235.00	27222.00	400.00	0	2711.12	2744.00	718.15	0.01	0.26	137.00	765.75	137.00	1704.35	0.75	2.23	91.00	9.00	0.00	2607.00	2574.12	12937488.00	1.14	1870.42	2089.00	4772	23366	100	Cy5 BSA 15ng/ul	""	Undefined
1	4	3	4790.00	27219.00	400.00	0	1867.95	1416.50	1537.74	0.12	0.82	199.00	641.12	199.00	1160.96	0.51	1.81	52.00	20.00	0.00	1217.50	1668.95	8902636.00	1.06	1257.97	1098.50	4766	23353	100	COL6A1	""	Undefined
1	5	3	5344.00	27216.00	400.00	0	1443.79	1368.00	1225.23	0.02	0.85	179.00	455.45	179.00	678.05	0.41	1.49	92.00	32.00	0.02	1189.00	1264.79	6881096.00	1.46	1071.66	1171.00	4766	23349	100	CT62	""	Undefined
1	6	3	5899.00	27213.00	400.00	0	1463.83	1557.00	662.40	0.03	0.45	167.00	376.87	167.00	581.18	0.35	1.54	85.00	75.00	0.00	1390.00	1296.83	6988327.00	1.87	930.70	350.00	4774	23362	100	DSCR8/MMA1	""	Undefined
1	7	3	6454.00	27210.00	400.00	0	1571.05	1722.00	868.15	0.04	0.55	160.00	401.94	160.00	2019.86	0.40	5.03	20.00	0.00	0.00	1562.00	1411.05	7495477.00	0.58	869.96	256.50	4771	23383	100	MAGEA3	""	Undefined
1	8	3	7009.00	27207.00	400.00	0	547.86	584.00	360.58	0.03	0.66	149.00	459.60	149.00	2076.48	0.49	4.52	0.00	0.00	0.00	435.00	398.86	2615479.00	0.04	337.44	183.00	4774	24293	100	SOX1	""	Undefined
