protein	Category
ACVR2B	analyte
AKT1	analyte
BAGE2	analyte
BAGE3	analyte
BAGE4	analyte
BAGE5	analyte
BCCP.myc	analyte
biotin.ahIgG	control
biotin.hIgG.10ng.ul	control
BORIS.B0	control
Buffer	control
CALM1	analyte
CAMEL	analyte
CCDC33	analyte
CDC25A	analyte
CDK2	analyte
CDK4	analyte
CDK7	analyte
CEACAM.1.isoform	analyte
CEACAM.1.isoform.1	analyte
CEP290	analyte
COL6A1	analyte
COX6B2	analyte
CREB1	analyte
CSAG2	analyte
CT47	analyte
CT47.11	analyte
CT62	analyte
CTAG2	analyte
CTAG2.LAGE.1b.LAGE.1L	analyte
CTNNB1	analyte
CXorf48	analyte
CXorf48.1	analyte
Cy5.BSA.10ng.ul	control
Cy5.BSA.15ng.ul	control
Cy5.BSA.5ng.ul	control
cytochrome.P450.3A4	analyte
cytochrome.P450.reductase	analyte
DDX53	analyte
DPPA2	analyte
DPPA3	analyte
DPPA4	analyte
DSCR8.MMA1	analyte
EGFR	analyte
EMPTY	empty
FES	analyte
FGFR2	analyte
FTHL17	analyte
GAGE1	analyte
GAGE2A	analyte
GAGE4	analyte
GAGE5	analyte
GAGE6	analyte
GAGE7	analyte
GDF3	analyte
GRWD1	analyte
HORMAD1	analyte
ICL	analyte
LDHC	analyte
LEMD1	analyte
LIP1	analyte
MAGEA1	analyte
MAGEA10	analyte
MAGEA11	analyte
MAGEA2	analyte
MAGEA3	analyte
MAGEA4v2	analyte
MAGEA4v3	analyte
MAGEA4v4	analyte
MAGEA5	analyte
MAGEB1	analyte
MAGEB5	analyte
MAGEB6	analyte
MAPK1	analyte
MAPK3	analyte
MART	analyte
MART.1	analyte
MICA	analyte
NANOG	analyte
NLRP4	analyte
NXF2	analyte
NY.CO	analyte
NY.CO.45	analyte
NY.ESO	analyte
NY.ESO.1	analyte
NY.ESO.1.ORF2	analyte
OIP5	analyte
p53	analyte
p53.C141Y	analyte
p53.L344P	analyte
p53.M133T	analyte
p53.Q136x	analyte
p53.S15A	analyte
p53.S46A	analyte
p53.S6A	analyte
P53.T18A	analyte
PBK	analyte
POU5F1.OCT3.OCT4A.var.	analyte
POU5F1.OCT3.OCT4A.var..1	analyte
PRKCZ	analyte
RAF	analyte
RELT	analyte
ROPN1	analyte
ROPN1A	analyte
SGY	analyte
SGY.1	analyte
SILV	analyte
SOX1	analyte
SPAG9	analyte
SPANXA1	analyte
SPANXB1	analyte
SPANXC	problem
SPANXD	analyte
SPATS1..isoform.a	analyte
SPATS1..isoform.a.	analyte
SPO11	analyte
SRC	analyte
SSX1	analyte
SSX2A	analyte
SSX4	analyte
SYCE1	analyte
SYCP1	analyte
THEG	analyte
TKTL1..isoform.a	analyte
TKTL1..isoform.a.	analyte
TPTE	analyte
TSGA10	analyte
TSSK6	analyte
TYR	analyte
X5T4.TPBG	analyte
XAGE	analyte
XAGE.2	analyte
XAGE3av1	analyte
XAGE3av2	analyte
ZNF165	analyte
