"Block"	"Column"	"Row"	"ID"	"spot"	"B635.SD"	"Name"	"Category"
1	1	1	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
1	2	1	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
1	3	1	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
1	4	1	"COL6A1"	"COL6A1"	NA	NA	"analyte probe"
1	5	1	"CT62"	"CT62"	NA	NA	"analyte probe"
1	6	1	"DSCR8/MMA1"	"DSCR8/MMA1"	NA	NA	"analyte probe"
1	7	1	"MAGEA3"	"MAGEA3"	NA	NA	"analyte probe"
1	8	1	"SOX1"	"SOX1"	NA	NA	"analyte probe"
1	1	2	"MAGEA5"	"MAGEA5"	NA	NA	"analyte probe"
1	2	2	"MART-1"	"MART-1"	NA	NA	"analyte probe"
1	3	2	"NY-CO-45"	"NY-CO-45"	NA	NA	"analyte probe"
1	4	2	"THEG"	"THEG"	NA	NA	"analyte probe"
1	5	2	"TYR"	"TYR"	NA	NA	"analyte probe"
1	6	2	"ZNF165"	"ZNF165"	NA	NA	"analyte probe"
1	7	2	"CDK7"	"CDK7"	NA	NA	"analyte probe"
1	8	2	"Buffer"	"Buffer"	NA	NA	"analyte probe"
1	1	3	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
1	2	3	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
1	3	3	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
1	4	3	"COL6A1"	"COL6A1"	NA	NA	"analyte probe"
1	5	3	"CT62"	"CT62"	NA	NA	"analyte probe"
1	6	3	"DSCR8/MMA1"	"DSCR8/MMA1"	NA	NA	"analyte probe"
1	7	3	"MAGEA3"	"MAGEA3"	NA	NA	"analyte probe"
1	8	3	"SOX1"	"SOX1"	NA	NA	"analyte probe"
1	1	4	"MAGEA5"	"MAGEA5"	NA	NA	"analyte probe"
1	2	4	"MART-1"	"MART-1"	NA	NA	"analyte probe"
1	3	4	"NY-CO-45"	"NY-CO-45"	NA	NA	"analyte probe"
1	4	4	"THEG"	"THEG"	NA	NA	"analyte probe"
1	5	4	"TYR"	"TYR"	NA	NA	"analyte probe"
1	6	4	"ZNF165"	"ZNF165"	NA	NA	"analyte probe"
1	7	4	"CDK7"	"CDK7"	NA	NA	"analyte probe"
1	8	4	"Buffer"	"Buffer"	NA	NA	"analyte probe"
1	1	5	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
1	2	5	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
1	3	5	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
1	4	5	"COL6A1"	"COL6A1"	NA	NA	"analyte probe"
1	5	5	"CT62"	"CT62"	NA	NA	"analyte probe"
1	6	5	"DSCR8/MMA1"	"DSCR8/MMA1"	NA	NA	"analyte probe"
1	7	5	"MAGEA3"	"MAGEA3"	NA	NA	"analyte probe"
1	8	5	"SOX1"	"SOX1"	NA	NA	"analyte probe"
1	1	6	"MAGEA5"	"MAGEA5"	NA	NA	"analyte probe"
1	2	6	"MART-1"	"MART-1"	NA	NA	"analyte probe"
1	3	6	"NY-CO-45"	"NY-CO-45"	NA	NA	"analyte probe"
1	4	6	"THEG"	"THEG"	NA	NA	"analyte probe"
1	5	6	"TYR"	"TYR"	NA	NA	"analyte probe"
1	6	6	"ZNF165"	"ZNF165"	NA	NA	"analyte probe"
1	7	6	"BAGE4"	"BAGE4"	NA	NA	"analyte probe"
1	8	6	"Buffer"	"Buffer"	NA	NA	"analyte probe"
1	1	7	"p53 M133T"	"p53 M133T"	NA	NA	"analyte probe"
1	2	7	"CDK7"	"CDK7"	NA	NA	"analyte probe"
1	3	7	"p53 M133T"	"p53 M133T"	NA	NA	"analyte probe"
1	4	7	"BAGE4"	"BAGE4"	NA	NA	"analyte probe"
1	5	7	"p53 M133T"	"p53 M133T"	NA	NA	"analyte probe"
1	6	7	"BAGE4"	"BAGE4"	NA	NA	"analyte probe"
1	7	7	"empty"	"empty"	NA	NA	"removed probe"
1	8	7	"empty"	"empty"	NA	NA	"removed probe"
1	1	8	"ACVR2A"	"ACVR2A"	NA	NA	"analyte probe"
1	2	8	"PIM1"	"PIM1"	NA	NA	"analyte probe"
1	3	8	"ACVR2A"	"ACVR2A"	NA	NA	"analyte probe"
1	4	8	"PIM1"	"PIM1"	NA	NA	"analyte probe"
1	5	8	"ACVR2A"	"ACVR2A"	NA	NA	"analyte probe"
1	6	8	"PIM1"	"PIM1"	NA	NA	"analyte probe"
1	7	8	"empty"	"empty"	NA	NA	"removed probe"
1	8	8	"empty"	"empty"	NA	NA	"removed probe"
2	1	1	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
2	2	1	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
2	3	1	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
2	4	1	"CEP290"	"CEP290"	NA	NA	"analyte probe"
2	5	1	"CT47.11"	"CT47.11"	NA	NA	"analyte probe"
2	6	1	"DDX53"	"DDX53"	NA	NA	"analyte probe"
2	7	1	"MAGEA2"	"MAGEA2"	NA	NA	"analyte probe"
2	8	1	"DPPA2"	"DPPA2"	NA	NA	"analyte probe"
2	1	2	"MAGEA4v4"	"MAGEA4v4"	NA	NA	"analyte probe"
2	2	2	"MAGEB6"	"MAGEB6"	NA	NA	"analyte probe"
2	3	2	"NXF2"	"NXF2"	NA	NA	"analyte probe"
2	4	2	"SYCP1"	"SYCP1"	NA	NA	"analyte probe"
2	5	2	"TSSK6"	"TSSK6"	NA	NA	"analyte probe"
2	6	2	"XAGE3av2"	"XAGE3av2"	NA	NA	"analyte probe"
2	7	2	"CDK4"	"CDK4"	NA	NA	"analyte probe"
2	8	2	"Buffer"	"Buffer"	NA	NA	"analyte probe"
2	1	3	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
2	2	3	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
2	3	3	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
2	4	3	"CEP290"	"CEP290"	NA	NA	"analyte probe"
2	5	3	"CT47.11"	"CT47.11"	NA	NA	"analyte probe"
2	6	3	"DDX53"	"DDX53"	NA	NA	"analyte probe"
2	7	3	"MAGEA2"	"MAGEA2"	NA	NA	"analyte probe"
2	8	3	"DPPA2"	"DPPA2"	NA	NA	"analyte probe"
2	1	4	"MAGEA4v4"	"MAGEA4v4"	NA	NA	"analyte probe"
2	2	4	"MAGEB6"	"MAGEB6"	NA	NA	"analyte probe"
2	3	4	"NXF2"	"NXF2"	NA	NA	"analyte probe"
2	4	4	"SYCP1"	"SYCP1"	NA	NA	"analyte probe"
2	5	4	"TSSK6"	"TSSK6"	NA	NA	"analyte probe"
2	6	4	"XAGE3av2"	"XAGE3av2"	NA	NA	"analyte probe"
2	7	4	"CDK4"	"CDK4"	NA	NA	"analyte probe"
2	8	4	"Buffer"	"Buffer"	NA	NA	"analyte probe"
2	1	5	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
2	2	5	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
2	3	5	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
2	4	5	"CEP290"	"CEP290"	NA	NA	"analyte probe"
2	5	5	"CT47.11"	"CT47.11"	NA	NA	"analyte probe"
2	6	5	"DDX53"	"DDX53"	NA	NA	"analyte probe"
2	7	5	"MAGEA2"	"MAGEA2"	NA	NA	"analyte probe"
2	8	5	"DPPA2"	"DPPA2"	NA	NA	"analyte probe"
2	1	6	"MAGEA4v4"	"MAGEA4v4"	NA	NA	"analyte probe"
2	2	6	"MAGEB6"	"MAGEB6"	NA	NA	"analyte probe"
2	3	6	"NXF2"	"NXF2"	NA	NA	"analyte probe"
2	4	6	"SYCP1"	"SYCP1"	NA	NA	"analyte probe"
2	5	6	"TSSK6"	"TSSK6"	NA	NA	"analyte probe"
2	6	6	"XAGE3av2"	"XAGE3av2"	NA	NA	"analyte probe"
2	7	6	"BAGE3"	"BAGE3"	NA	NA	"analyte probe"
2	8	6	"Buffer"	"Buffer"	NA	NA	"analyte probe"
2	1	7	"p53 S392A"	"p53 S392A"	NA	NA	"analyte probe"
2	2	7	"CDK4"	"CDK4"	NA	NA	"analyte probe"
